1968 US Presidential Election,Nixon,Humphrey,Wallace,
Bernalillo,56234,40835,4920,
Catron,674,278,128,
Chaves,8866,3612,1425,
Colfax,2212,2477,263,
Curry,5562,2915,1754,
De Baca,658,345,130,
Dona Ana,10824,7658,1453,
Eddy,7193,6093,1671,
Grant,2908,3817,793,
Guadalupe,1176,1027,77,
Harding,450,284,44,
Hidalgo,606,678,257,
Lea,7415,4751,3025,
Lincoln,2004,802,287,
Los Alamos,3447,2552,268,
Luna,1952,1438,490,
McKinley,4376,4491,547,
Mora,1155,1069,35,
Otero,4475,3978,1688,
Quay,2123,1399,567,
Rio Arriba,3935,4799,269,
Roosevelt,3256,1547,773,
Sandoval,1959,2609,129,
San Juan,7664,4036,2304,
San Miguel,4027,4088,195,
Santa Fe,9359,9544,492,
Sierra,1624,930,282,
Socorro,2230,1871,173,
Taos,3119,2993,124,
Torrance,1316,974,188,
Union,1217,678,279,
Valencia,5676,5513,707,
