1972 US Presidential Election,Nixon,McGovern,Other,
Bernalillo,79993,48753,2816,
Catron,829,271,28,
Chaves,11493,4296,427,
Colfax,2663,1855,83,
Curry,8392,2416,256,
De Baca,752,270,25,
Dona Ana,14562,9416,388,
Eddy,9921,5040,385,
Grant,4431,4081,269,
Guadalupe,1297,1202,26,
Harding,522,220,18,
Hidalgo,1051,562,44,
Lea,12478,3429,424,
Lincoln,2528,696,56,
Los Alamos,5039,2435,150,
Luna,2958,1560,159,
McKinley,5366,5124,299,
Mora,1165,1135,18,
Otero,7033,2981,656,
Quay,3224,1161,137,
Rio Arriba,4351,5642,202,
Roosevelt,4727,1612,134,
Sandoval,3507,3293,179,
San Juan,10788,4296,886,
San Miguel,4434,4663,196,
Santa Fe,12211,10761,274,
Sierra,2074,934,66,
Socorro,2658,1994,78,
Taos,3617,3472,75,
Torrance,1758,908,58,
Union,1545,496,90,
Valencia,8239,6110,339,
