1976 US Presidential Election,Ford,Carter,Other,
Bernalillo,76614,63949,1363,
Catron,602,517,13,
Chaves,10631,7139,170,
Colfax,2259,2718,29,
Curry,6232,5004,122,
De Baca,556,597,7,
Dona Ana,13888,12036,233,
Eddy,7698,9073,115,
Grant,4095,5176,57,
Guadalupe,1047,1379,27,
Harding,387,285,6,
Hidalgo,891,938,6,
Lea,8773,6533,135,
Lincoln,2320,1415,29,
Los Alamos,5383,2890,82,
Luna,2966,2872,65,
McKinley,4617,6856,120,
Mora,904,1438,19,
Otero,5914,5333,105,
Quay,2059,2095,41,
Rio Arriba,3213,7125,111,
Roosevelt,3269,3111,49,
Sandoval,4110,5072,87,
San Juan,10852,8615,216,
San Miguel,3162,5204,141,
Santa Fe,11576,14127,294,
Sierra,1665,1564,33,
Socorro,2265,2606,68,
Taos,3012,4414,91,
Torrance,1462,1526,24,
Union,1146,975,29,
Valencia,7851,8566,136,
