1988 US Presidential Election,Bush,Dukakis,Other,
Bernalillo,92830,78346,1959,
Catron,925,490,71,
Chaves,13367,6730,206,
Cibola,2640,3458,39,
Colfax,2256,2785,44,
Curry,8032,3995,111,
De Baca,643,480,13,
Dona Ana,21582,19608,557,
Eddy,9805,8544,186,
Grant,4196,5443,96,
Guadalupe,861,1243,15,
Harding,377,291,4,
Hidalgo,1100,901,19,
Lea,11309,5879,115,
Lincoln,3511,1690,87,
Los Alamos,6622,3275,256,
Luna,3415,3066,155,
McKinley,5694,9595,178,
Mora,923,1601,21,
Otero,9984,5284,210,
Quay,2454,1901,57,
Rio Arriba,3024,7503,99,
Roosevelt,3589,2033,59,
Sandoval,9411,9332,268,
San Juan,16202,11094,454,
San Miguel,2763,6131,129,
Santa Fe,12891,23581,455,
Sierra,2507,1595,63,
Socorro,3114,2960,143,
Taos,2897,6271,91,
Torrance,2252,1618,68,
Union,1291,638,31,
Valencia,7874,7136,190,
