1992 US Presidential Election,Bush,Clinton,Perot,
Bernalillo,77304,90863,31241,
Catron,771,465,289,
Chaves,8872,6360,3590,
Cibola,2051,3334,847,
Colfax,1730,2607,871,
Curry,6831,3699,2056,
De Baca,526,451,204,
Dona Ana,16308,19894,7682,
Eddy,7313,7409,3430,
Grant,2917,5603,1685,
Guadalupe,691,1225,173,
Harding,312,268,98,
Hidalgo,871,995,442,
Lea,7921,5047,3233,
Lincoln,2669,1730,1431,
Los Alamos,4320,3897,2339,
Luna,2166,2637,1445,
McKinley,4720,9405,1304,
Mora,668,1555,188,
Otero,7481,5377,3257,
Quay,1759,1758,755,
Rio Arriba,2680,7832,984,
Roosevelt,3215,2172,1085,
Sandoval,8491,10951,3954,
San Juan,13415,11302,5351,
San Miguel,2183,6186,965,
Santa Fe,9684,27189,5656,
Sierra,1562,1771,1055,
Socorro,2186,2908,918,
Taos,2260,7051,1300,
Torrance,1667,1662,810,
Union,975,519,355,
Valencia,6305,7495,2902,
