2004 US Presidential Election,Bush,Kerry,Other,
Bernalillo,121454,132252,3105,
Catron,1427,551,15,
Chaves,14773,6726,206,
Cibola,3477,3913,97,
Colfax,3082,2824,62,
Curry,10649,3541,96,
De Baca,706,281,6,
Dona Ana,29548,31762,650,
Eddy,13268,6880,122,
Grant,6135,7095,162,
Guadalupe,914,1340,13,
Harding,380,259,5,
Hidalgo,1081,861,22,
Lea,14430,3646,105,
Lincoln,6070,2822,122,
Los Alamos,5810,5206,181,
Luna,4164,3340,89,
McKinley,7351,13051,221,
Mora,928,1876,22,
Otero,14066,6433,265,
Quay,2661,1422,34,
Rio Arriba,5149,9753,97,
Roosevelt,4997,2082,65,
Sandoval,22628,21421,492,
San Juan,29525,14843,638,
San Miguel,3313,8683,120,
Santa Fe,18466,47074,660,
Sierra,3162,1926,69,
Socorro,3696,4025,130,
Taos,3666,10987,182,
Torrance,4026,2386,95,
Union,1454,411,16,
Valencia,14474,11270,268,
