1968 US Presidential Election,Nixon,Humphrey,Wallace,
Albany,52948,80724,5025,
Allegany,11222,4986,851,
Bronx,142314,277385,21950,
Broome,46872,37451,4618,
Cattaraugus,16594,12733,1674,
Cayuga,16167,14604,1826,
Chautauqua,28561,26431,3273,
Chemung,20693,15820,2807,
Chenango,11785,5706,887,
Clinton,11951,10153,931,
Columbia,13857,7762,1372,
Cortland,10209,5791,720,
Delaware,12366,5360,1121,
Dutchess,45032,31025,5662,
Erie,167853,250054,33402,
Essex,9377,5218,701,
Franklin,8314,6678,544,
Fulton,11895,8871,989,
Genesee,12418,9533,1141,
Greene,10954,5499,1421,
Hamilton,2123,762,163,
Herkimer,15192,10940,1455,
Jefferson,18552,13438,1016,
Kings,247936,489174,33563,
Lewis,5524,3205,430,
Livingston,11659,6989,775,
Madison,13819,7056,1053,
Monroe,143233,141437,10875,
Montgomery,12566,11449,1147,
Nassau,329792,278599,30860,
New York,135458,370806,12958,
Niagara,38796,41999,6617,
Oneida,52875,44685,5666,
Onondaga,95806,83576,9459,
Ontario,17114,11719,1180,
Orange,44955,28122,6473,
Orleans,8509,4786,696,
Oswego,20041,14636,1962,
Otsego,13543,7981,1091,
Putnam,13293,8472,2388,
Queens,306620,410546,44198,
Rensselaer,34674,30232,3461,
Richmond,54631,34770,9112,
Rockland,40880,36948,5028,
St. Lawrence,20982,15662,1178,
Saratoga,25658,17766,2220,
Schenectady,33687,34786,3246,
Schoharie,6166,3883,689,
Schuyler,4105,2034,522,
Seneca,7083,5222,635,
Steuben,24189,12229,2194,
Suffolk,218027,122590,31304,
Sullivan,11657,10860,1487,
Tioga,10441,5336,1127,
Tompkins,13446,10343,1236,
Ulster,34798,20886,4183,
Warren,12963,6460,807,
Washington,12694,6806,930,
Wayne,17470,8907,1211,
Westchester,201652,173954,22115,
Wyoming,8459,4477,799,
Yates,5482,2158,440,
