1988 US Presidential Election,Bush,Dukakis,Other,
Albany,59534,86564,1363,
Allegany,11880,5614,132,
Bronx,76043,218245,3793,
Broome,47610,48130,625,
Cattaraugus,19691,12447,290,
Cayuga,16934,15044,307,
Chautauqua,31642,25814,411,
Chemung,20951,15966,222,
Chenango,11727,8021,154,
Clinton,15702,12670,191,
Columbia,15111,11585,228,
Cortland,10934,7673,162,
Delaware,11391,7463,156,
Dutchess,62165,38968,826,
Erie,188796,238779,3217,
Essex,10350,6623,140,
Franklin,9135,7928,129,
Fulton,11757,9012,162,
Genesee,14182,9945,205,
Greene,11874,7265,180,
Hamilton,2320,976,21,
Herkimer,15104,12694,224,
Jefferson,19304,14137,181,
Kings,178961,363916,6142,
Lewis,5787,4252,99,
Livingston,14004,9506,187,
Madison,14902,10665,187,
Monroe,155271,153650,2545,
Montgomery,11128,11371,186,
Nassau,337430,250130,4858,
New York,115927,385675,4949,
Niagara,42537,43801,530,
Oneida,55039,47665,757,
Onondaga,104080,94751,1654,
Ontario,21780,17341,314,
Orange,65446,38465,899,
Orleans,9028,5913,114,
Oswego,25362,18430,419,
Otsego,13021,11069,245,
Putnam,24086,12158,256,
Queens,217049,325147,4533,
Rensselaer,35412,33066,719,
Richmond,77427,47812,736,
Rockland,63825,47634,842,
St. Lawrence,20290,18921,270,
Saratoga,43498,31684,606,
Schenectady,33364,36483,539,
Schoharie,7008,5389,139,
Schuyler,4291,2900,51,
Seneca,7221,6215,135,
Steuben,25359,12824,283,
Suffolk,311242,199215,3893,
Sullivan,15713,11635,220,
Tioga,12670,8102,174,
Tompkins,14932,21455,312,
Ulster,41173,30744,640,
Warren,15860,8580,182,
Washington,14103,8201,211,
Wayne,20613,12959,330,
Westchester,197956,169860,3192,
Wyoming,9451,5228,184,
Yates,5488,3507,79,
