2000 US Presidential Election,Bush,Gore,Nader,
Albany,47624,85644,7212,
Allegany,11436,6336,657,
Bronx,36245,265801,4265,
Broome,36946,45381,3826,
Cattaraugus,18382,13816,1094,
Cayuga,14988,17031,1448,
Chautauqua,29064,27016,1888,
Chemung,18779,17424,1195,
Chenango,10033,9112,869,
Clinton,13274,15542,1205,
Columbia,13153,13489,1707,
Cortland,9857,9691,943,
Delaware,10662,8450,833,
Dutchess,52669,52390,5553,
Erie,160176,240176,18166,
Essex,8822,7927,848,
Franklin,7643,8870,658,
Fulton,11434,9314,668,
Genesee,14459,10191,924,
Greene,11332,8480,924,
Hamilton,2388,1114,133,
Herkimer,14147,12224,969,
Jefferson,18192,16799,1029,
Kings,96609,497513,20058,
Lewis,6103,4333,324,
Livingston,15244,10476,1053,
Madison,14879,12017,1092,
Monroe,141266,161743,11520,
Montgomery,9765,10249,487,
Nassau,226954,341610,14780,
New York,82113,454523,31172,
Niagara,40952,47781,3257,
Oneida,47603,43933,3160,
Onondaga,83678,109896,7670,
Ontario,23885,19761,1793,
Orange,62852,58170,4192,
Orleans,9202,5991,474,
Oswego,23249,22857,1699,
Otsego,12219,11460,1419,
Putnam,21853,18525,1730,
Queens,122052,416967,13720,
Rensselaer,29562,34808,3291,
Richmond,63903,73828,3550,
Rockland,48441,69530,3502,
St. Lawrence,16449,21386,1488,
Saratoga,46623,43359,4149,
Schenectady,27961,35534,2750,
Schoharie,7459,5390,551,
Schuyler,4381,3301,369,
Seneca,6734,6841,560,
Steuben,24200,14600,1248,
Suffolk,240992,306306,18130,
Sullivan,12703,14348,1156,
Tioga,12239,9170,846,
Tompkins,13351,21807,4548,
Ulster,33447,38162,5732,
Warren,14993,12193,1177,
Washington,12596,9641,997,
Wayne,21701,14977,1202,
Westchester,139278,218010,11596,
Wyoming,10809,5999,548,
Yates,5565,3962,386,
