2004 US Presidential Election,Bush,Kerry,Other,
Albany,54872,89323,3004,
Allegany,12310,6566,394,
Bronx,56701,283994,2284,
Broome,43568,46281,2041,
Cattaraugus,20051,13514,701,
Cayuga,17743,17534,775,
Chautauqua,32434,27257,1253,
Chemung,21321,17080,674,
Chenango,11582,9277,482,
Clinton,15330,17624,782,
Columbia,14457,15929,717,
Cortland,11613,10670,477,
Delaware,11958,8724,485,
Dutchess,63372,58232,2277,
Erie,184423,251090,9625,
Essex,9869,8768,445,
Franklin,8383,9543,390,
Fulton,12570,9202,443,
Genesee,16725,10331,524,
Greene,12996,8933,469,
Hamilton,2475,1145,75,
Herkimer,16024,11675,611,
Jefferson,21231,16860,709,
Kings,167149,514973,5762,
Lewis,6624,4546,227,
Livingston,17729,11504,715,
Madison,16537,13121,629,
Monroe,163545,173497,6022,
Montgomery,11338,9449,434,
Nassau,288355,323070,6918,
New York,107405,526765,7781,
Niagara,47111,47602,1867,
Oneida,52392,40792,2197,
Onondaga,94006,116381,4238,
Ontario,27999,21166,945,
Orange,79089,63394,2190,
Orleans,10317,5959,301,
Oswego,26325,24133,1149,
Otsego,13342,12723,587,
Putnam,26356,19575,640,
Queens,165954,433835,5603,
Rensselaer,34734,36075,1705,
Richmond,90325,68448,1370,
Rockland,65130,64191,1910,
St. Lawrence,18029,22857,875,
Saratoga,56158,48730,1985,
Schenectady,32066,35971,1432,
Schoharie,8591,5630,338,
Schuyler,4960,3445,185,
Seneca,7981,6979,365,
Steuben,26980,14523,781,
Suffolk,309949,315909,12854,
Sullivan,15319,15034,613,
Tioga,13762,9694,446,
Tompkins,13994,27229,1198,
Ulster,37821,47602,2289,
Warren,16969,13405,685,
Washington,13827,10624,652,
Wayne,24709,15709,802,
Westchester,159628,229849,6293,
Wyoming,11745,6134,290,
Yates,6309,4205,197,
