2008 US Presidential Election,McCain,Obama,Other,
Albany,50586,93937,2743,
Allegany,11013,7016,377,
Bronx,41683,338261,1378,
Broome,40077,47204,1556,
Cattaraugus,17770,14307,540,
Cayuga,15243,18128,651,
Chautauqua,28579,29129,1094,
Chemung,19364,18888,443,
Chenango,10337,10100,410,
Clinton,12579,20216,542,
Columbia,13337,17556,540,
Cortland,9678,11861,381,
Delaware,10524,9462,403,
Dutchess,59628,71060,1614,
Erie,178815,256299,6871,
Essex,7913,10390,292,
Franklin,6676,10571,273,
Fulton,11709,9695,420,
Genesee,15705,10762,423,
Greene,12059,9850,426,
Hamilton,2141,1225,45,
Herkimer,14619,12094,471,
Jefferson,20220,18166,500,
Kings,151872,603525,4451,
Lewis,5969,4986,183,
Livingston,16030,13655,464,
Madison,14434,14692,676,
Monroe,144262,207371,4791,
Montgomery,10711,9080,384,
Nassau,288776,342185,4657,
New York,89949,572370,5566,
Niagara,46348,47303,1621,
Oneida,49256,43506,1603,
Onondaga,84972,129317,3950,
Ontario,25171,25103,746,
Orange,72042,78326,1614,
Orleans,9708,6614,262,
Oswego,23571,24777,1001,
Otsego,12026,13570,525,
Putnam,25145,21613,486,
Queens,155221,480692,4224,
Rensselaer,32840,39753,1393,
Richmond,86062,79311,1205,
Rockland,61752,69543,898,
St. Lawrence,16956,23706,664,
Saratoga,52855,56645,1887,
Schenectady,29758,38611,1473,
Schoharie,8071,6009,322,
Schuyler,4542,3933,125,
Seneca,7038,7422,281,
Steuben,24203,17148,560,
Suffolk,307021,346549,6209,
Sullivan,13900,16850,433,
Tioga,12536,10172,423,
Tompkins,11927,29826,799,
Ulster,33300,54320,1529,
Warren,15429,16281,535,
Washington,12533,12741,456,
Wayne,22239,18184,622,
Westchester,147824,261810,3410,
Wyoming,10998,6379,290,
Yates,5269,4890,121,
