1972 US Presidential Election,Nixon,McGovern,Other,
Adams,4980,2709,193,
Allen,26966,10184,1393,
Ashland,12470,4302,302,
Ashtabula,22762,15052,794,
Athens,9735,9977,203,
Auglaize,11900,4617,530,
Belmont,17628,14800,450,
Brown,6772,3770,262,
Butler,50380,21194,2061,
Carroll,5984,2755,275,
Champaign,8756,3626,221,
Clark,34447,19725,1578,
Clermont,22936,8276,777,
Clinton,8140,2709,139,
Columbiana,27308,15683,611,
Coshocton,8082,3790,334,
Crawford,14632,5518,903,
Cuyahoga,329493,317670,12588,
Darke,13862,6534,700,
Defiance,8914,4377,339,
Delaware,12950,4452,484,
Erie,16714,10889,988,
Fairfield,21909,7746,913,
Fayette,6970,2344,201,
Franklin,219771,117562,7475,
Fulton,8387,3615,232,
Gallia,6506,2341,139,
Geauga,15624,7329,624,
Greene,25349,12736,824,
Guernsey,9648,4757,214,
Hamilton,239212,119054,6119,
Hancock,18111,6084,1429,
Hardin,8713,3535,354,
Harrison,4554,2388,68,
Henry,8099,3145,231,
Highland,8524,3464,238,
Hocking,5407,2874,211,
Holmes,3752,1507,103,
Huron,10942,5491,907,
Jackson,7351,3410,162,
Jefferson,21531,16198,545,
Knox,10705,5370,664,
Lake,42488,27523,2130,
Lawrence,15125,7112,330,
Licking,28070,12460,1702,
Logan,10938,3786,656,
Lorain,51102,36634,3280,
Lucas,88401,90142,4166,
Madison,8372,2484,208,
Mahoning,64144,62428,2516,
Marion,17197,7970,492,
Medina,21010,10643,758,
Meigs,5961,2335,137,
Mercer,8587,5798,522,
Miami,21226,9121,665,
Monroe,3721,2483,88,
Montgomery,120998,82231,5323,
Morgan,3679,1554,138,
Morrow,6886,2527,346,
Muskingum,19897,10313,884,
Noble,3274,1449,76,
Ottawa,9772,6465,652,
Paulding,4553,2283,189,
Perry,6716,3728,365,
Pickaway,9661,2978,363,
Pike,5037,3531,193,
Portage,23294,20769,939,
Preble,8993,3472,330,
Putnam,8185,3729,428,
Richland,31117,13468,1056,
Ross,15573,5879,436,
Sandusky,15489,8308,546,
Scioto,19998,11008,673,
Seneca,13939,8180,799,
Shelby,9089,4721,893,
Stark,92110,51565,3135,
Summit,112419,108534,4263,
Trumbull,47680,35278,2308,
Tuscarawas,18413,12255,501,
Union,8389,2447,218,
Van Wert,9545,3644,202,
Vinton,2725,1537,74,
Warren,20210,6941,746,
Washington,14023,5814,597,
Wayne,20368,9260,448,
Williams,9083,4278,244,
Wood,21080,13494,1051,
Wyandot,6414,2771,227,
