1980 US Presidential Election,Reagan,Carter,Anderson,
Adams,5336,4161,303,
Allen,29070,13140,1439,
Ashland,11691,5142,1128,
Ashtabula,19847,17363,2481,
Athens,8170,9514,1544,
Auglaize,11537,5022,785,
Belmont,13601,16653,1432,
Brown,6065,4706,339,
Butler,61231,31796,4717,
Carroll,5806,3476,406,
Champaign,7356,4109,596,
Clark,27237,22630,3414,
Clermont,26674,13199,1697,
Clinton,7675,3967,608,
Columbiana,20798,17459,2320,
Coshocton,8359,4725,525,
Crawford,12424,6058,915,
Cuyahoga,254883,307448,40750,
Darke,12773,7635,1198,
Defiance,9358,5096,896,
Delaware,14740,6417,1278,
Erie,15628,12343,1908,
Fairfield,24096,13144,1689,
Fayette,5827,2810,327,
Franklin,200948,143932,21269,
Fulton,9519,3972,1026,
Gallia,6469,4406,401,
Geauga,17762,9542,2359,
Greene,24922,20068,3160,
Guernsey,8180,5121,604,
Hamilton,206979,129114,17898,
Hancock,18264,6843,1467,
Hardin,7457,3863,528,
Harrison,3639,2848,331,
Henry,7584,3059,691,
Highland,7359,4363,454,
Hocking,4588,3765,312,
Holmes,3860,2094,329,
Huron,11173,6537,1110,
Jackson,5902,4409,274,
Jefferson,15777,20382,1797,
Knox,10384,6586,987,
Lake,43485,35246,5925,
Lawrence,13799,11366,813,
Licking,28425,17208,2419,
Logan,9727,4319,718,
Lorain,51034,40919,7324,
Lucas,86653,85341,16636,
Madison,7166,3565,438,
Mahoning,50153,63677,9490,
Marion,14605,9419,1255,
Medina,24723,13573,2965,
Meigs,4911,3827,294,
Mercer,8673,5506,941,
Miami,19928,12893,2429,
Monroe,2870,3166,266,
Montgomery,101443,105110,13817,
Morgan,3236,1875,156,
Morrow,6179,3239,383,
Muskingum,17921,12584,1329,
Noble,3025,1944,208,
Ottawa,8641,6753,1281,
Paulding,4971,2778,550,
Perry,5725,4383,369,
Pickaway,9289,5052,515,
Pike,4426,4938,257,
Portage,22829,20570,3798,
Preble,8376,5416,687,
Putnam,9752,3742,533,
Richland,29213,18253,2586,
Ross,13251,9355,812,
Sandusky,13420,8482,1851,
Scioto,15881,15552,816,
Seneca,14172,7303,1415,
Shelby,8988,6425,895,
Stark,87769,59005,8030,
Summit,92299,102459,15002,
Trumbull,41056,44366,6281,
Tuscarawas,15708,12117,1779,
Union,7576,3038,421,
Van Wert,7866,4070,741,
Vinton,2484,2381,138,
Warren,22430,11306,1348,
Washington,14310,7936,1121,
Wayne,18962,12129,2313,
Williams,9146,4015,872,
Wood,23315,14139,4156,
Wyandot,5786,2757,407,
