1992 US Presidential Election,Bush,Clinton,Perot,
Adams,4722,3998,1993,
Allen,25322,13777,8131,
Ashland,9864,5985,4950,
Ashtabula,13254,18843,10765,
Athens,7184,13423,5074,
Auglaize,10455,4960,4840,
Belmont,8614,18527,6142,
Brown,5912,5540,3676,
Butler,63375,39682,27527,
Carroll,4224,4731,3434,
Champaign,7004,5201,3992,
Clark,24011,26692,12571,
Clermont,32065,17558,14279,
Clinton,7290,4638,3402,
Columbiana,15016,19765,12611,
Coshocton,5705,6212,4081,
Crawford,8618,6351,5764,
Cuyahoga,187186,337548,112352,
Darke,11098,7016,6217,
Defiance,7195,5735,4187,
Delaware,18225,9263,9244,
Erie,12459,14531,8720,
Fairfield,24125,14249,12246,
Fayette,4916,2976,2162,
Franklin,186324,176656,79049,
Fulton,8358,5576,4798,
Gallia,5776,5350,2549,
Geauga,18200,11466,10577,
Greene,27651,20139,11459,
Guernsey,5749,6428,4103,
Hamilton,192447,148409,60145,
Hancock,16821,7944,7002,
Hardin,5851,4364,2867,
Harrison,2289,3830,1679,
Henry,6196,3933,3178,
Highland,7020,4866,3315,
Hocking,3761,3935,2831,
Holmes,5079,1969,1945,
Huron,9480,7930,6751,
Jackson,5422,5016,2389,
Jefferson,10764,20978,6910,
Knox,9044,7259,5282,
Lake,40766,37682,26878,
Lawrence,10044,12325,4536,
Licking,26918,18898,13806,
Logan,9364,4889,4472,
Lorain,36803,50962,30425,
Lucas,63297,99989,38108,
Madison,6865,3998,3170,
Mahoning,31191,64731,29417,
Marion,11675,9444,6471,
Medina,24090,18995,17290,
Meigs,3916,4226,2098,
Mercer,8683,4883,4913,
Miami,19741,12547,10544,
Monroe,1823,4235,1505,
Montgomery,104751,108017,47854,
Morgan,2719,2402,1551,
Morrow,5208,3907,3623,
Muskingum,14168,11670,8731,
Noble,2223,2201,1429,
Ottawa,6782,8128,4832,
Paulding,3652,3293,2510,
Perry,4712,4972,3810,
Pickaway,8690,5765,4319,
Pike,4094,5057,2192,
Portage,18447,26325,17065,
Preble,8023,5557,4460,
Putnam,9338,3962,3648,
Richland,23532,19606,13370,
Ross,10825,10452,5616,
Sandusky,10772,9878,6682,
Scioto,11931,14715,6860,
Seneca,9763,9280,6967,
Shelby,8854,5262,5835,
Stark,61863,70064,42413,
Summit,77530,107881,55151,
Trumbull,25831,54591,26791,
Tuscarawas,13179,14787,8785,
Union,7818,3465,3433,
Van Wert,7227,3822,3102,
Vinton,1975,2308,1050,
Warren,27998,13542,11115,
Washington,12204,10380,5415,
Wayne,18350,13953,9482,
Williams,7614,4862,4902,
Wood,20579,20754,11682,
Wyandot,4411,3031,2929,
