2008 US Presidential Election,McCain,Obama,Other,
Adams,6914,4170,330,
Allen,29940,19522,1033,
Ashland,15158,9300,727,
Ashtabula,18949,25027,1100,
Athens,9742,20722,795,
Auglaize,16414,6738,407,
Belmont,15422,16302,812,
Brown,12192,7503,471,
Butler,105341,66030,2688,
Carroll,7097,6423,465,
Champaign,11141,7385,410,
Clark,33634,31958,1395,
Clermont,62559,31611,1564,
Clinton,12409,6558,375,
Columbiana,25585,21882,1232,
Coshocton,8675,7689,574,
Crawford,12316,8289,620,
Cuyahoga,199880,458422,8997,
Darke,17290,7964,584,
Defiance,10407,8399,426,
Delaware,54778,36653,1150,
Erie,17432,23148,795,
Fairfield,41580,29250,1317,
Fayette,7102,4401,215,
Franklin,218486,334709,8568,
Fulton,11689,9900,424,
Gallia,8247,4777,347,
Geauga,29096,21250,899,
Greene,48936,33540,1253,
Guernsey,9197,7625,553,
Hamilton,195530,225213,4343,
Hancock,22420,13870,765,
Hardin,7749,5013,387,
Harrison,3872,3683,262,
Henry,8239,6320,293,
Highland,11907,6856,468,
Hocking,6364,6259,393,
Holmes,7720,3141,273,
Huron,12884,12076,622,
Jackson,8219,5397,431,
Jefferson,17559,17635,877,
Knox,16640,11014,631,
Lake,59142,60155,2345,
Lawrence,15415,11262,713,
Licking,46918,33932,1720,
Logan,13848,7936,499,
Lorain,59068,85276,2515,
Lucas,73706,142852,3899,
Madison,10606,6532,372,
Mahoning,45319,79173,3167,
Marion,15454,12870,768,
Medina,48189,40924,1539,
Meigs,6015,4094,298,
Mercer,15100,5853,346,
Miami,33417,18372,1126,
Monroe,3066,3705,211,
Montgomery,128679,145997,4355,
Morgan,3440,2966,214,
Morrow,10067,6177,435,
Muskingum,20549,17730,946,
Noble,3450,2474,264,
Ottawa,10624,12064,402,
Paulding,5317,4165,303,
Perry,7721,7261,455,
Pickaway,14228,9077,482,
Pike,6162,6033,311,
Portage,34822,41856,1724,
Preble,13562,6999,488,
Putnam,13072,5281,327,
Richland,34034,25727,1478,
Ross,16759,14455,711,
Sandusky,14192,15602,583,
Scioto,16994,14926,803,
Seneca,13823,13087,643,
Shelby,15924,7316,478,
Stark,86743,96990,4277,
Summit,113284,160858,4487,
Trumbull,40164,64145,2962,
Tuscarawas,20454,21498,1105,
Union,15744,8761,479,
Van Wert,9168,5178,355,
Vinton,3021,2463,162,
Warren,71691,33398,1337,
Washington,17019,12368,545,
Wayne,29342,21712,1222,
Williams,9879,8174,343,
Wood,29648,34285,1231,
Wyandot,6270,4461,271,
