1996 US Presidential Election,Dole,Clinton,Perot,
Adair,2956,2792,751,
Alfalfa,1504,796,348,
Atoka,1542,2281,532,
Beaver,1893,515,199,
Beckham,2912,2797,817,
Blaine,2127,1832,563,
Bryan,3943,5962,1396,
Caddo,3422,4844,1358,
Canadian,18139,8977,3297,
Carter,6769,6979,1997,
Cherokee,5046,6817,1777,
Choctaw,1580,3198,589,
Cimarron,986,361,102,
Cleveland,36457,26038,6785,
Coal,734,1205,323,
Comanche,14461,12841,2819,
Cotton,1042,1258,381,
Craig,2058,2649,758,
Creek,9861,9674,2837,
Custer,4723,4027,1101,
Delaware,5230,5094,1573,
Dewey,1179,816,292,
Ellis,1090,619,279,
Garfield,11712,7504,2523,
Garvin,3745,4639,1345,
Grady,7228,6256,2048,
Grant,1382,867,384,
Greer,905,1240,361,
Harmon,448,729,143,
Harper,1036,511,219,
Haskell,1442,2762,590,
Hughes,1510,2748,730,
Jackson,4422,3245,892,
Jefferson,865,1430,337,
Johnston,1229,1998,532,
Kay,9741,6882,2785,
Kingfisher,3423,1626,621,
Kiowa,1638,1973,510,
Latimer,1189,2222,578,
Le Flore,5689,6831,1721,
Lincoln,5243,4332,1500,
Logan,5949,4854,1410,
Love,1224,1675,385,
McClain,4363,3753,1289,
McCurtain,3892,4350,1483,
McIntosh,2400,4219,1044,
Major,2188,900,410,
Marshall,1605,2624,663,
Mayes,5268,6377,1617,
Murray,1712,2620,723,
Muskogee,8974,12963,3163,
Noble,2318,1756,694,
Nowata,1457,1788,586,
Okfuskee,1380,2074,536,
Oklahoma,120429,80438,18411,
Okmulgee,4246,7555,1487,
Osage,5827,7342,1938,
Ottawa,4127,5844,1496,
Pawnee,2560,2663,756,
Payne,11686,9985,2472,
Pittsburg,5966,8475,2217,
Pontotoc,5366,6470,1712,
Pottawatomie,9802,9141,2724,
Pushmataha,1458,2270,588,
Roger Mills,959,733,233,
Rogers,12883,9544,3022,
Seminole,2935,4225,1041,
Sequoyah,4733,5665,1673,
Stephens,8144,7248,2312,
Texas,4139,1408,518,
Tillman,1346,1827,471,
Tulsa,111243,76924,18201,
Wagoner,9392,7749,2357,
Washington,11605,6732,2255,
Washita,1994,1913,748,
Woods,2151,1431,497,
Woodward,4093,2403,963,
