1976 US Presidential Election,Ford,Carter,Other,
Baker,3340,3306,273,
Benton,15555,11887,1865,
Clackamas,47671,42504,3784,
Clatsop,6178,6690,748,
Columbia,5226,8005,628,
Coos,9481,14168,1076,
Crook,2093,2536,148,
Curry,2962,3227,318,
Deschutes,9054,9480,848,
Douglas,16500,14965,1508,
Gilliam,612,508,46,
Grant,1640,1393,173,
Harney,1652,1567,188,
Hood River,3210,3114,312,
Jackson,24237,23384,2615,
Jefferson,1810,1769,198,
Josephine,10726,9061,1323,
Klamath,11649,9659,879,
Lake,1575,1381,132,
Lane,46245,56479,5643,
Lincoln,5755,6685,759,
Linn,14128,15776,1337,
Malheur,5682,3507,421,
Marion,35497,33781,3053,
Morrow,1091,1162,114,
Multnomah,112400,129060,11699,
Polk,8528,8141,861,
Sherman,567,491,51,
Tillamook,4033,4456,378,
Umatilla,9345,7985,701,
Union,5111,4280,438,
Wallowa,1693,1310,146,
Wasco,4258,4560,422,
Washington,52376,34847,3388,
Wheeler,355,402,22,
Yamhill,9885,8881,854,
