1996 US Presidential Election,Dole,Clinton,Perot,
Baker,3975,2547,900,
Benton,12450,17211,2445,
Clackamas,59443,67709,12304,
Clatsop,5334,7732,1582,
Columbia,6205,9275,2330,
Coos,10886,12171,3460,
Crook,3250,2607,948,
Curry,4790,4202,1560,
Deschutes,21135,17151,5306,
Douglas,21855,15250,4465,
Gilliam,398,485,143,
Grant,2110,1180,432,
Harney,1948,980,506,
Hood River,2794,3654,721,
Jackson,33771,29230,7470,
Jefferson,2634,2555,813,
Josephine,16048,11113,3546,
Klamath,12116,7207,2538,
Lake,2239,962,385,
Lane,48253,69461,11498,
Lincoln,6717,10552,2269,
Linn,18331,17041,4773,
Malheur,6045,2827,844,
Marion,46415,48637,8802,
Morrow,1381,1426,455,
Multnomah,71094,159878,17536,
Polk,11478,10942,2093,
Sherman,476,444,126,
Tillamook,3884,5775,1263,
Umatilla,9703,8774,2500,
Union,5414,4379,1241,
Wallowa,2379,1321,483,
Wasco,3662,4967,1004,
Washington,65221,76619,11446,
Wheeler,418,299,121,
Yamhill,13900,13078,2913,
