2008 US Presidential Election,McCain,Obama,Other,
Baker,5650,2805,322,
Benton,15264,29901,1313,
Clackamas,83595,103476,4807,
Clatsop,7192,10701,655,
Columbia,10413,13390,965,
Coos,15354,14401,1196,
Crook,6371,3632,349,
Curry,6646,5230,456,
Deschutes,39064,38819,1899,
Douglas,30919,20298,1720,
Gilliam,648,430,32,
Grant,2785,1006,118,
Harney,2595,950,138,
Hood River,3265,6302,263,
Jackson,49043,49090,2914,
Jefferson,4402,3682,234,
Josephine,22973,17412,1664,
Klamath,19113,9370,916,
Lake,2638,957,93,
Lane,63835,114037,5038,
Lincoln,8791,14258,840,
Linn,28071,22163,1748,
Malheur,7157,2949,327,
Marion,59059,61816,3688,
Morrow,2509,1410,139,
Multnomah,75171,279696,9843,
Polk,17714,17536,957,
Sherman,634,385,28,
Tillamook,5757,7072,468,
Umatilla,15254,9484,785,
Union,7581,4613,400,
Wallowa,2836,1492,137,
Wasco,5103,5906,371,
Washington,89185,141544,5903,
Wheeler,498,281,33,
Yamhill,21390,20797,1339,
