1996 US Presidential Election,Dole,Clinton,Perot,
Adams,15338,10774,3186,
Allegheny,204067,284480,42309,
Armstrong,11052,11130,3452,
Beaver,26048,39578,8276,
Bedford,10064,5954,2041,
Berks,56289,49887,13788,
Blair,21282,15036,4014,
Bradford,10393,7736,2712,
Bucks,94899,103313,24544,
Butler,32038,21990,6145,
Cambria,20341,30391,7837,
Cameron,1113,822,283,
Carbon,7193,9457,2992,
Centre,20935,21145,4173,
Chester,77029,64783,14067,
Clarion,6916,5954,2064,
Clearfield,12987,11991,3758,
Clinton,4293,5658,1424,
Columbia,8234,8379,3654,
Crawford,14659,12943,3519,
Cumberland,43943,28749,5669,
Dauphin,44417,40936,6967,
Delaware,92628,115946,21883,
Elk,4889,5749,2293,
Erie,39884,57508,10386,
Fayette,14019,26359,5722,
Forest,902,964,325,
Franklin,25392,14980,4127,
Fulton,2665,1620,554,
Greene,4002,7620,2052,
Huntingdon,7324,5285,1813,
Indiana,12874,13868,3674,
Jefferson,8156,5846,2322,
Juniata,4128,2896,911,
Lackawanna,26930,46377,8189,
Lancaster,92875,49120,11601,
Lawrence,13088,18993,4002,
Lebanon,21885,14187,4235,
Lehigh,45103,48568,10947,
Luzerne,43577,60174,12424,
Lycoming,21535,13516,3855,
McKean,6838,5509,2350,
Mercer,17213,23003,5108,
Mifflin,6888,5327,1392,
Monroe,17326,16547,4650,
Montgomery,121047,143664,24392,
Montour,2785,2183,784,
Northampton,35726,43959,9848,
Northumberland,13551,13418,5173,
Perry,8156,4611,1609,
Philadelphia,85345,412988,29329,
Pike,6697,5509,1873,
Potter,3714,2146,925,
Schuylkill,22920,24860,8471,
Snyder,6742,3405,1451,
Somerset,14735,12719,3968,
Sullivan,1352,1071,418,
Susquehanna,7354,5912,2266,
Tioga,7382,4961,1993,
Union,6570,3658,1431,
Venango,8398,8205,2777,
Warren,7056,7291,2504,
Washington,27777,40952,8661,
Wayne,8077,5928,2126,
Westmoreland,62058,63686,16230,
Wyoming,4888,4049,1414,
York,65188,49596,11652,
