2004 US Presidential Election,Bush,Kerry,Other,
Adams,28247,13764,217,
Allegheny,271925,368912,4632,
Armstrong,18925,12025,147,
Beaver,39916,42146,481,
Bedford,16606,6016,57,
Berks,87122,76309,1056,
Blair,35751,18105,322,
Bradford,16942,8590,120,
Bucks,154469,163438,1909,
Butler,54959,30090,376,
Cambria,34048,32591,344,
Cameron,1599,794,13,
Carbon,12519,12223,301,
Centre,33133,30733,508,
Chester,120036,109708,1079,
Clarion,11063,6049,72,
Clearfield,20533,13518,182,
Clinton,8035,5823,109,
Columbia,16052,10679,138,
Crawford,21965,16013,344,
Cumberland,67648,37928,506,
Dauphin,65296,55299,613,
Delaware,120425,162601,1512,
Elk,7872,6602,76,
Erie,57372,67921,605,
Fayette,25045,29120,542,
Forest,1571,989,13,
Franklin,41817,16562,190,
Fulton,4772,1475,24,
Greene,7786,7674,105,
Huntingdon,12126,5879,53,
Indiana,20254,15831,163,
Jefferson,13371,6073,116,
Juniata,7144,2797,65,
Lackawanna,44766,59573,1480,
Lancaster,145591,74328,1453,
Lawrence,21938,21387,117,
Lebanon,37089,18109,467,
Lehigh,70160,73940,991,
Luzerne,64953,69573,1502,
Lycoming,33961,15681,439,
McKean,10941,6294,191,
Mercer,26311,24831,422,
Mifflin,11726,4889,187,
Monroe,27971,27967,404,
Montgomery,175741,222048,1802,
Montour,4903,2666,55,
Northampton,62102,63446,1301,
Northumberland,22262,14602,270,
Perry,13919,5423,85,
Philadelphia,130099,542205,1765,
Pike,12444,8656,199,
Potter,5640,2268,54,
Schuylkill,35640,29231,398,
Snyder,10566,4348,69,
Somerset,23802,12842,134,
Sullivan,2056,1213,16,
Susquehanna,11573,7351,116,
Tioga,12019,5437,115,
Union,10334,5700,89,
Venango,14472,9024,163,
Warren,10999,8044,230,
Washington,47673,48225,279,
Wayne,13713,8060,194,
Westmoreland,100087,77774,835,
Wyoming,7782,4982,68,
York,114270,63701,1298,
