2008 US Presidential Election,McCain,Obama,Other,
Adams,26349,17633,759,
Allegheny,272347,373153,8539,
Armstrong,18542,11138,583,
Beaver,42895,40499,1638,
Bedford,16124,6059,365,
Berks,80513,97047,2951,
Blair,32708,19813,777,
Bradford,15057,10306,526,
Bucks,150248,179031,4045,
Butler,57074,32260,1427,
Cambria,31995,32451,1560,
Cameron,1323,879,55,
Carbon,12957,13464,629,
Centre,32992,41950,1169,
Chester,114421,137833,2998,
Clarion,10737,6756,384,
Clearfield,18662,14555,805,
Clinton,7504,7097,190,
Columbia,14477,13230,571,
Crawford,20750,16780,777,
Cumberland,63739,48306,1780,
Dauphin,58238,69975,1632,
Delaware,115273,178870,3367,
Elk,6676,7290,396,
Erie,50351,75775,2145,
Fayette,26081,25866,897,
Forest,1366,1038,64,
Franklin,41906,21169,842,
Fulton,4642,1576,88,
Greene,7889,7829,396,
Huntingdon,11745,6621,365,
Indiana,19727,17065,510,
Jefferson,12057,6447,408,
Juniata,6484,3068,267,
Lackawanna,39488,67520,1531,
Lancaster,126568,99586,3095,
Lawrence,21851,19711,787,
Lebanon,34314,23310,939,
Lehigh,63382,87089,2002,
Luzerne,61127,72492,2349,
Lycoming,30280,18381,786,
McKean,9224,6465,321,
Mercer,26565,26411,1192,
Mifflin,10929,5375,283,
Monroe,28293,39453,872,
Montgomery,165552,253393,3796,
Montour,4574,3364,138,
Northampton,58551,75255,2148,
Northumberland,19018,14329,767,
Perry,13058,6396,394,
Philadelphia,117221,595980,4824,
Pike,12518,11493,273,
Potter,5109,2300,142,
Schuylkill,33767,28300,1538,
Snyder,9900,5382,284,
Somerset,21686,12878,804,
Sullivan,1841,1233,52,
Susquehanna,10633,8381,401,
Tioga,11326,6390,410,
Union,9859,7333,283,
Venango,13718,9238,525,
Warren,9685,8537,441,
Washington,50752,46122,1642,
Wayne,12702,9892,338,
Westmoreland,102294,72721,2532,
Wyoming,6983,5985,255,
York,109268,82839,3179,
