1992 US Presidential Election,Bush,Clinton,Perot,
Anderson,11838,13482,3149,
Bedford,3836,5978,1541,
Benton,1625,3896,559,
Bledsoe,1776,1884,352,
Blount,18415,14655,4468,
Bradley,16528,9889,3212,
Campbell,4897,6756,1240,
Cannon,1229,2593,495,
Carroll,4842,5741,1139,
Carter,10712,6502,1898,
Cheatham,3496,4817,1433,
Chester,2834,2317,439,
Claiborne,4065,4509,860,
Clay,1072,1922,223,
Cocke,5298,3495,1124,
Coffee,6047,8534,2420,
Crockett,2180,2657,507,
Cumberland,7116,6393,2200,
Davidson,76567,106355,20184,
Decatur,1667,2633,351,
DeKalb,1714,4382,608,
Dickson,4450,7863,1730,
Dyer,5668,5845,1241,
Fayette,3713,4211,657,
Fentress,2391,2730,606,
Franklin,4507,7773,1837,
Gibson,7161,9555,1536,
Giles,2827,5601,1309,
Grainger,2772,2242,513,
Greene,9912,7857,2930,
Grundy,1004,2997,366,
Hamblen,8898,7114,1760,
Hamilton,53476,46770,14400,
Hancock,1274,1000,151,
Hardeman,3122,4832,594,
Hardin,3875,3922,734,
Hawkins,7758,6623,1847,
Haywood,2518,3511,331,
Henderson,4719,3502,785,
Henry,3661,6797,1588,
Hickman,1820,4093,795,
Houston,648,2012,280,
Humphreys,1641,3875,609,
Jackson,708,3208,332,
Jefferson,6184,4740,1385,
Johnson,3170,1781,574,
Knox,66607,59702,15669,
Lake,680,1449,151,
Lauderdale,2928,4452,561,
Lawrence,5608,6816,1403,
Lewis,1218,2491,434,
Lincoln,3814,5063,1371,
Loudon,6444,5414,1602,
McMinn,7453,6682,1812,
McNairy,4093,4691,774,
Macon,2299,2961,443,
Madison,14869,13629,2634,
Marion,3262,5589,1186,
Marshall,2516,4491,1050,
Maury,7440,9997,2821,
Meigs,1355,1673,453,
Monroe,6025,5384,936,
Montgomery,13011,14507,3753,
Moore,661,1151,327,
Morgan,2306,3190,658,
Obion,4812,6497,1494,
Overton,1657,4489,468,
Perry,708,1889,317,
Pickett,1094,1144,121,
Polk,1584,2583,419,
Putnam,7998,10858,2473,
Rhea,4860,4289,1163,
Roane,8719,9812,2396,
Robertson,5271,8498,1978,
Rutherford,18877,21084,7005,
Scott,3011,2730,643,
Sequatchie,1381,1754,405,
Sevier,11714,6719,2760,
Shelby,153310,191322,20223,
Smith,1482,5061,486,
Stewart,1046,2779,487,
Sullivan,28801,20935,6730,
Sumner,17401,19387,5177,
Tipton,6757,5652,1279,
Trousdale,565,1846,243,
Unicoi,3344,2375,709,
Union,2274,2478,580,
Van Buren,555,1329,191,
Warren,3704,7189,1415,
Washington,18206,13071,4002,
Wayne,2955,1868,424,
Weakley,4800,5691,1355,
White,2118,4102,821,
Williamson,22015,13053,5026,
Wilson,12061,13861,3848,
