1996 US Presidential Election,Dole,Clinton,Perot,
Anderson,11943,13457,1817,
Bedford,4634,5735,823,
Benton,2395,4341,663,
Bledsoe,1626,1621,251,
Blount,19310,14687,2556,
Bradley,15478,9095,1856,
Campbell,4393,6122,785,
Cannon,1468,2318,361,
Carroll,4206,4912,697,
Carter,10540,6218,1383,
Cheatham,4283,4883,705,
Chester,2746,1922,203,
Claiborne,4023,3861,727,
Clay,1108,1559,316,
Cocke,4481,3326,798,
Coffee,7038,7951,1205,
Crockett,1872,2256,201,
Cumberland,8096,6676,1399,
Davidson,78453,110805,9018,
Decatur,1712,2262,229,
DeKalb,1696,3213,342,
Dickson,5283,7458,996,
Dyer,5059,5602,676,
Fayette,4406,4655,416,
Fentress,2307,2332,386,
Franklin,5296,6929,1057,
Gibson,6614,8851,891,
Giles,3269,4948,733,
Grainger,2875,2162,382,
Greene,9779,6885,1604,
Grundy,1094,2596,326,
Hamblen,9797,7006,1106,
Hamilton,55205,48008,6699,
Hancock,1259,760,116,
Hardeman,2961,4859,346,
Hardin,3980,3508,594,
Hawkins,8164,6367,1282,
Haywood,2293,3565,154,
Henderson,4002,2841,408,
Henry,4272,6153,992,
Hickman,2002,3917,460,
Houston,742,1868,182,
Humphreys,1892,3675,423,
Jackson,944,2889,289,
Jefferson,6446,4688,882,
Johnson,3137,1698,489,
Knox,70761,61158,6402,
Lake,589,1273,110,
Lauderdale,2481,4349,308,
Lawrence,6115,6188,973,
Lewis,1298,1971,316,
Lincoln,4551,4361,761,
Loudon,7097,5552,889,
McMinn,7655,5987,1033,
McNairy,3960,4050,519,
Macon,2481,2240,421,
Madison,14908,13577,968,
Marion,3166,5194,768,
Marshall,2781,4447,603,
Maury,8737,10367,1366,
Meigs,1228,1476,245,
Monroe,5257,4872,713,
Montgomery,15133,16498,1781,
Moore,846,935,177,
Morgan,2070,2767,446,
Obion,4310,6226,932,
Overton,1756,3800,431,
Perry,747,1444,178,
Pickett,1046,901,116,
Polk,1910,2450,377,
Putnam,9093,10047,1487,
Rhea,4476,3969,694,
Roane,9044,9744,1438,
Robertson,6685,8465,993,
Rutherford,24565,22815,3787,
Scott,2646,2506,431,
Sequatchie,1391,1598,288,
Sevier,11847,7136,1650,
Shelby,136315,179663,8307,
Smith,1857,3812,346,
Stewart,1306,2962,386,
Sullivan,29296,20571,3555,
Sumner,20863,19205,2783,
Tipton,7585,6596,799,
Trousdale,683,1615,190,
Unicoi,3122,2131,447,
Union,2253,2421,385,
Van Buren,504,1010,128,
Warren,4226,6389,917,
Washington,18960,13259,2237,
Wayne,2715,1574,323,
Weakley,4622,5657,873,
White,2498,3592,505,
Williamson,27699,15231,2071,
Wilson,13817,13655,1841,
