2000 US Presidential Election,Bush,Gore,Nader,
Anderson,14688,13556,316,
Bedford,5911,6136,80,
Benton,2484,3700,62,
Bledsoe,2380,1756,35,
Blount,25273,14688,379,
Bradley,20167,8768,271,
Campbell,5784,6492,74,
Cannon,1924,2697,45,
Carroll,5465,5239,65,
Carter,12111,6724,157,
Cheatham,6356,6062,139,
Chester,3487,2192,25,
Claiborne,5023,3841,60,
Clay,1468,1931,19,
Cocke,6185,3872,93,
Coffee,8788,8741,151,
Crockett,2676,2705,42,
Cumberland,10994,7644,223,
Davidson,84117,120508,2920,
Decatur,2046,2278,22,
DeKalb,2411,3765,63,
Dickson,7016,8332,120,
Dyer,6282,5425,88,
Fayette,6402,5037,44,
Fentress,3417,2529,28,
Franklin,6560,7828,190,
Gibson,8286,8663,101,
Giles,4377,5527,79,
Grainger,3746,2361,46,
Greene,12540,7909,185,
Grundy,1553,2970,37,
Hamblen,11824,7564,181,
Hamilton,66605,51708,1290,
Hancock,1343,690,17,
Hardeman,3729,4953,38,
Hardin,4951,3735,49,
Hawkins,10071,6753,147,
Haywood,2554,3887,20,
Henderson,5153,3166,46,
Henry,5944,6093,125,
Hickman,2914,4239,58,
Houston,993,2081,16,
Humphreys,2387,4205,65,
Jackson,1384,3304,36,
Jefferson,8657,5226,121,
Johnson,3740,1813,54,
Knox,86851,60969,1772,
Lake,781,1419,11,
Lauderdale,3329,4224,27,
Lawrence,7613,6643,98,
Lewis,2037,2281,63,
Lincoln,5435,5060,72,
Loudon,10266,5905,132,
McMinn,10155,6142,142,
McNairy,4897,4003,47,
Macon,3366,3059,30,
Madison,17862,15781,173,
Marion,4651,5441,74,
Marshall,4105,5107,94,
Maury,11930,11127,207,
Meigs,1797,1555,12,
Monroe,7514,5327,78,
Montgomery,19644,18818,359,
Moore,1145,1107,27,
Morgan,3144,2921,39,
Obion,6168,6056,99,
Overton,2875,4507,46,
Perry,1165,1650,28,
Pickett,1281,939,12,
Polk,2907,2574,46,
Putnam,11248,10785,228,
Rhea,5900,3722,74,
Roane,11345,9575,211,
Robertson,9675,10249,148,
Rutherford,33445,27360,1024,
Scott,3579,2967,31,
Sequatchie,2169,1648,37,
Sevier,16734,8208,259,
Shelby,141756,190404,2860,
Smith,2384,4884,42,
Stewart,1826,2870,50,
Sullivan,33482,21354,520,
Sumner,27601,22118,482,
Tipton,10070,6300,96,
Trousdale,950,1966,15,
Unicoi,3780,2566,40,
Union,3199,2564,30,
Van Buren,845,1255,8,
Warren,5552,7378,105,
Washington,22579,14769,375,
Wayne,3370,1859,43,
Weakley,6106,5570,91,
White,3525,4135,58,
Williamson,38901,18745,536,
Wilson,18844,16561,308,
