2008 US Presidential Election,McCain,Obama,Other,
Anderson,19675,11396,499,
Bedford,10217,5027,263,
Benton,3696,2645,138,
Bledsoe,3166,1517,101,
Blount,35571,15253,821,
Bradley,28333,9357,501,
Campbell,8535,3867,226,
Cannon,3322,2011,124,
Carroll,7455,3980,211,
Carter,15852,5587,330,
Cheatham,10702,5498,228,
Chester,4587,1797,75,
Claiborne,7175,3078,167,
Clay,1676,1248,70,
Cocke,8945,3340,196,
Coffee,13250,7132,408,
Crockett,3994,1967,76,
Cumberland,17436,7889,387,
Davidson,102915,158423,3885,
Decatur,3101,1566,96,
DeKalb,4085,2832,148,
Dickson,11677,7506,336,
Dyer,9859,4411,180,
Fayette,12173,6892,189,
Fentress,4789,1831,119,
Franklin,10539,6613,280,
Gibson,13516,7406,331,
Giles,6902,4614,173,
Grainger,5297,2066,140,
Greene,17151,7110,409,
Grundy,2563,1971,98,
Hamblen,15508,6807,354,
Hamilton,81702,64246,2086,
Hancock,1588,604,49,
Hardeman,5225,5919,93,
Hardin,7077,2794,164,
Hawkins,14756,5930,354,
Haywood,3165,4893,63,
Henderson,7669,3021,144,
Henry,8182,5153,210,
Hickman,4784,3563,151,
Houston,1608,1678,68,
Humphreys,3818,3600,162,
Jackson,2185,2224,92,
Jefferson,13092,5178,262,
Johnson,4621,1837,133,
Knox,113015,70215,2856,
Lake,1175,1024,39,
Lauderdale,4933,4322,83,
Lawrence,10566,5161,293,
Lewis,2951,1804,79,
Lincoln,9231,3695,204,
Loudon,15815,6058,311,
McMinn,12989,5541,259,
McNairy,7135,3131,156,
Macon,5145,2060,155,
Madison,23290,20209,347,
Marion,6746,4506,185,
Marshall,6755,4320,214,
Maury,20288,13058,421,
Meigs,2797,1372,68,
Monroe,11484,5053,240,
Montgomery,30175,25716,748,
Moore,2010,881,61,
Morgan,4717,1969,136,
Obion,8873,4308,211,
Overton,4497,3419,176,
Perry,1596,1329,75,
Pickett,1786,854,31,
Polk,4267,2124,110,
Putnam,17101,9739,476,
Rhea,8042,2907,157,
Roane,15658,7224,394,
Robertson,17903,9318,393,
Rutherford,59892,40460,1547,
Scott,4931,1720,132,
Sequatchie,3610,1717,110,
Sevier,24922,8604,415,
Shelby,145458,256297,2800,
Smith,4563,2992,186,
Stewart,2956,2470,81,
Sullivan,44808,18354,835,
Sumner,44949,21487,926,
Tipton,17165,7931,220,
Trousdale,1688,1475,76,
Unicoi,5011,2107,105,
Union,4467,1829,103,
Van Buren,1294,849,63,
Warren,8562,5515,323,
Washington,32341,15941,700,
Wayne,4076,1355,96,
Weakley,8855,4596,239,
White,6103,3372,172,
Williamson,64858,27886,1092,
Wilson,34595,15886,678,
