1960 US Presidential Election,Nixon,Kennedy,Unpledged,
Anderson,3642,3296,0,
Andrews,1550,1821,0,
Angelina,5169,7046,0,
Aransas,792,948,0,
Archer,680,1341,0,
Armstrong,488,365,0,
Atascosa,1812,2544,0,
Austin,1978,1725,0,
Bailey,1180,1064,0,
Bandera,942,539,0,
Bastrop,1208,2866,0,
Baylor,713,1199,0,
Bee,2220,2557,0,
Bell,4606,10651,0,
Bexar,63934,75373,0,
Blanco,557,830,0,
Borden,166,230,0,
Bosque,1653,1852,0,
Bowie,5927,9198,0,
Brazoria,10880,10561,0,
Brazos,4553,5907,0,
Brewster,736,716,0,
Briscoe,533,570,0,
Brooks,567,1934,0,
Brown,3512,3720,0,
Burleson,672,2466,0,
Burnet,1189,1770,0,
Caldwell,1482,2729,0,
Calhoun,1599,1961,0,
Callahan,1261,1559,0,
Cameron,10190,12416,0,
Camp,873,1307,0,
Carson,1387,1009,0,
Cass,2322,2934,0,
Castro,810,1544,0,
Chambers,1260,1524,0,
Cherokee,3233,4544,0,
Childress,1571,1189,0,
Clay,1019,1692,0,
Cochran,646,1028,0,
Coke,575,799,0,
Coleman,2127,1835,0,
Collin,3865,5229,0,
Collingsworth,1084,691,0,
Colorado,1909,2299,0,
Comal,3082,1845,0,
Comanche,1828,1979,0,
Concho,522,718,0,
Cooke,3983,3168,0,
Coryell,1477,2700,0,
Cottle,370,986,0,
Crane,678,848,0,
Crockett,635,517,0,
Crosby,889,1783,0,
Culberson,300,343,0,
Dallam,961,835,0,
Dallas,149369,88876,0,
Dawson,2161,2063,0,
Deaf Smith,2024,1299,0,
Delta,460,1360,0,
Denton,5724,5366,0,
Dewitt,2763,2253,0,
Dickens,521,1075,0,
Dimmit,648,886,0,
Donley,951,764,0,
Duval,809,3803,0,
Eastland,3359,3058,0,
Ector,11145,8996,0,
Edwards,463,168,0,
Ellis,3666,5841,0,
El Paso,21551,26027,0,
Erath,2696,2490,0,
Falls,1559,3399,0,
Fannin,1844,4282,0,
Fayette,2213,3462,0,
Fisher,679,1966,0,
Floyd,1580,1437,0,
Foard,270,723,0,
Fort Bend,3301,4339,0,
Franklin,620,1148,0,
Freestone,1629,1997,0,
Frio,713,1068,0,
Gaines,1520,1498,0,
Galveston,16373,23940,0,
Garza,737,829,0,
Gillespie,2687,816,0,
Glasscock,152,207,0,
Goliad,741,711,0,
Gonzales,1554,2730,0,
Gray,6197,2802,0,
Grayson,7312,9866,0,
Gregg,10679,7765,0,
Grimes,1053,1713,0,
Guadalupe,3657,3116,0,
Hale,4784,3695,0,
Hall,939,1192,0,
