1968 US Presidential Election,Nixon,Humphrey,Wallace,
Anderson,2828,3447,3196,
Andrews,1400,922,1312,
Angelina,4645,5174,6111,
Aransas,1076,1222,417,
Archer,636,1308,413,
Armstrong,434,301,206,
Atascosa,1805,2522,771,
Austin,1971,1299,1084,
Bailey,1174,820,563,
Bandera,842,535,423,
Bastrop,1455,2687,975,
Baylor,657,1064,443,
Bee,1995,2957,589,
Bell,5705,11893,3547,
Bexar,72951,95325,16598,
Blanco,614,620,223,
Borden,117,157,112,
Bosque,1377,1817,727,
Bowie,5966,6468,7165,
Brazoria,10631,11439,8026,
Brazos,6839,6299,2437,
Brewster,790,958,342,
Briscoe,411,528,219,
Brooks,534,1904,166,
Brown,2997,3999,1606,
Burleson,891,1678,694,
Burnet,1459,1876,643,
Caldwell,1402,2889,837,
Calhoun,1672,2612,1065,
Callahan,921,1437,737,
Cameron,11759,15726,2042,
Camp,555,1272,1074,
Carson,1211,904,570,
Cass,1930,2536,2883,
Castro,1033,1181,623,
Chambers,1061,1217,1329,
Cherokee,2575,3242,3791,
Childress,1045,1093,621,
Clay,936,1573,665,
Cochran,548,633,449,
Coke,387,563,208,
Coleman,1507,1449,1153,
Collin,6494,5918,3850,
Collingsworth,712,746,475,
Colorado,2296,1976,1163,
Comal,3646,2338,724,
Comanche,1436,1980,708,
Concho,411,502,197,
Cooke,3799,2711,1412,
Coryell,1698,2987,1172,
Cottle,268,742,266,
Crane,493,498,712,
Crockett,509,571,279,
Crosby,865,1574,401,
Culberson,298,330,145,
Dallam,990,588,430,
Dallas,184193,123809,55552,
Dawson,2091,1522,900,
Deaf Smith,2474,1545,691,
Delta,370,1037,475,
Denton,8222,7463,3178,
Dewitt,2589,1871,784,
Dickens,428,811,295,
Dimmit,584,896,177,
Donley,816,543,268,
Duval,384,3978,121,
Eastland,2453,2884,1013,
Ector,10557,5312,8671,
Edwards,409,148,82,
Ellis,3794,5431,2838,
El Paso,30347,32658,5111,
Erath,2209,2915,935,
Falls,1345,2990,1364,
Fannin,1585,3931,1661,
Fayette,2380,1833,1562,
Fisher,555,1560,268,
Floyd,1465,1305,847,
Foard,216,594,168,
Fort Bend,4573,4493,2447,
Franklin,481,1001,507,
Freestone,958,2066,1069,
Frio,795,1330,307,
Gaines,1401,1087,1037,
Galveston,16229,26041,10322,
Garza,615,662,383,
Gillespie,2945,725,432,
Glasscock,169,106,172,
Goliad,707,690,156,
Gonzales,1476,1930,983,
Gray,5994,2374,2427,
Grayson,8007,10379,4615,
Gregg,9278,5733,8109,
Grimes,1076,1473,976,
Guadalupe,4332,3529,1241,
Hale,4696,3293,2309,
Hall,753,1038,434,
Hamilton,1266,1116,452,
Hansford,1359,392,437,
Hardeman,873,1145,531,
Hardin,1986,2894,3979,
Harris,202079,182546,86412,
Harrison,3668,4959,5324,
Hartley,597,299,264,
Haskell,713,1888,610,
Hays,1993,3546,643,
Hemphill,699,400,201,
