1976 US Presidential Election,Ford,Carter,Other,
Anderson,4172,5499,44,
Andrews,2127,1777,33,
Angelina,7223,9750,139,
Aransas,1985,2136,60,
Archer,966,1577,18,
Armstrong,506,513,8,
Atascosa,2415,4565,92,
Austin,2686,2313,34,
Bailey,1255,1356,16,
Bandera,1554,1183,29,
Bastrop,2383,4788,33,
Baylor,783,1335,12,
Bee,2953,3690,79,
Bell,15126,17499,287,
Bexar,121176,146581,3673,
Blanco,1015,923,18,
Borden,150,234,6,
Bosque,1912,2954,17,
Bowie,9590,12445,179,
Brazoria,19475,21711,558,
Brazos,15685,10628,387,
Brewster,1368,1227,29,
Briscoe,285,823,11,
Brooks,641,2782,6,
Brown,4483,5577,35,
Burleson,1142,2924,15,
Burnet,2777,3818,41,
Caldwell,2235,3647,39,
Calhoun,2377,3642,42,
Callahan,1581,2241,42,
Cameron,16448,25310,353,
Camp,1133,2146,6,
Carson,1269,1542,13,
Cass,3712,5134,29,
Castro,1007,2033,36,
Chambers,1835,2927,90,
Cherokee,3921,6509,35,
Childress,1043,1578,5,
Clay,1200,2568,15,
Cochran,701,1031,7,
Coke,517,844,16,
Coleman,1669,2264,22,
Collin,21608,14039,353,
Collingsworth,629,1169,6,
Colorado,2991,3028,56,
Comal,6377,4068,109,
Comanche,1297,3414,20,
Concho,474,715,6,
Cooke,4804,4483,42,
Coryell,4140,4710,79,
Cottle,311,1047,3,
Crane,963,664,53,
Crockett,802,804,2,
Crosby,897,2176,19,
Culberson,373,407,7,
Dallam,936,1029,42,
Dallas,263081,196303,5001,
Dawson,2474,2162,17,
Deaf Smith,2776,2613,46,
Delta,421,1563,7,
Denton,20440,18887,365,
Dewitt,2754,2540,33,
Dickens,343,1222,6,
Dimmit,890,1721,13,
Donley,704,1095,5,
Duval,661,4267,13,
Eastland,2340,4320,35,
Ector,18973,10802,553,
Edwards,412,258,2,
Ellis,6996,9991,68,
El Paso,42697,45477,1291,
Erath,2925,4821,44,
Falls,2261,4277,29,
Fannin,2102,5845,38,
Fayette,3030,3428,35,
Fisher,573,1993,10,
Floyd,1402,1991,21,
Foard,240,706,4,
Fort Bend,17354,11264,169,
Franklin,758,1636,10,
Freestone,1674,2679,8,
Frio,1280,2598,30,
Gaines,1643,1880,21,
Galveston,25251,37873,611,
Garza,755,957,13,
Gillespie,3541,1260,84,
Glasscock,218,190,5,
Goliad,846,875,10,
Gonzales,1789,3219,18,
Gray,6010,3872,80,
Grayson,11981,17015,99,
Gregg,17582,9827,203,
Grimes,1473,2656,19,
Guadalupe,6766,6054,115,
Hale,5390,5580,37,
Hall,671,1633,10,
Hamilton,1176,1981,32,
Hansford,1401,983,22,
Hardeman,805,1403,17,
Hardin,4046,6558,84,
Harris,357536,321897,5831,
Harrison,7787,7796,56,
Hartley,811,774,12,
Haskell,838,2512,9,
Hays,5714,7005,156,
Hemphill,858,707,13,
Henderson,4658,8245,34,
Hidalgo,19199,35021,373,
Hill,2680,5327,25,
Hockley,3137,3949,44,
Hood,1857,3181,23,
Hopkins,2556,4992,44,
Houston,2229,3179,13,
Howard,4899,6984,89,
Hudspeth,395,479,7,
Hunt,6676,8543,95,
Hutchinson,6137,3691,105,
Irion,302,297,5,
Jack,1049,1814,8,
Jackson,1884,2524,25,
Jasper,3167,5422,18,
Jeff Davis,288,309,10,
Jefferson,32451,47581,514,
Jim Hogg,429,1645,0,
Jim Wells,3547,7961,42,
Johnson,7194,10864,69,
Jones,2072,3318,26,
Karnes,1675,2996,47,
Kaufman,3867,6302,35,
Kendall,2543,1190,60,
Kenedy,65,139,1,
Kent,171,474,2,
Kerr,6021,3767,190,
Kimble,846,759,27,
King,96,100,1,
Kinney,318,516,9,
Kleberg,3771,5803,73,
Knox,551,1498,11,
Lamar,4443,8601,32,
Lamb,2413,3374,28,
Lampasas,1563,2376,43,
La Salle,677,1294,12,
Lavaca,2466,3458,40,
Lee,1348,1937,18,
Leon,1161,2085,15,
Liberty,4552,7086,66,
Limestone,2045,3825,30,
Lipscomb,911,644,14,
Live Oak,1287,1656,18,
Llano,1947,2361,16,
Loving,47,35,4,
Lubbock,38478,24797,432,
Lynn,1166,1575,16,
McCulloch,1300,1888,19,
McLennan,25370,30091,509,
McMullen,217,194,0,
Madison,1062,1885,14,
Marion,1291,1860,16,
Martin,698,907,13,
Mason,805,814,21,
Matagorda,3679,4971,81,
Maverick,924,2840,38,
Medina,3252,3681,55,
Menard,441,543,16,
Midland,19178,7725,292,
Milam,2404,4871,40,
Mills,684,1012,14,
Mitchell,1058,1730,16,
Montague,2182,4087,25,
Montgomery,15739,13718,202,
Moore,2759,2767,49,
Morris,1843,3071,17,
Motley,428,522,11,
Nacogdoches,7315,6697,129,
Navarro,4012,6995,61,
Newton,1011,3468,23,
Nolan,2431,3094,20,
Nueces,32797,52755,773,
Ochiltree,2471,1084,32,
Oldham,354,554,3,
Orange,9147,15177,160,
Palo Pinto,2684,5170,51,
Panola,3218,3731,28,
Parker,4692,8186,91,
Parmer,1487,1914,16,
Pecos,2234,1971,28,
Polk,2529,4384,54,
Potter,13819,11917,300,
Presidio,687,1232,17,
Rains,510,1339,6,
Randall,17115,9074,335,
Reagan,666,563,5,
Real,448,510,11,
Red River,1852,3670,11,
Reeves,1711,2613,18,
Refugio,1537,2218,10,
Roberts,350,202,10,
Robertson,1244,3741,11,
Rockwall,2087,1828,21,
Runnels,2203,2068,11,
Rusk,6800,6063,52,
Sabine,904,2391,1,
San Augustine,1047,1817,6,
San Jacinto,1094,2406,29,
San Patricio,5853,9469,73,
San Saba,582,1408,15,
Schleicher,516,468,9,
Scurry,2797,2639,23,
Shackelford,748,764,6,
Shelby,2695,4680,12,
Sherman,679,718,19,
Smith,22238,16856,181,
Somervell,332,1054,5,
Starr,664,4646,15,
Stephens,1621,1796,12,
Sterling,202,174,5,
Stonewall,252,812,6,
Sutton,831,768,10,
Swisher,753,2811,13,
Tarrant,124433,122287,1911,
Taylor,19822,14453,268,
Terrell,317,321,4,
Terry,2113,2859,29,
Throckmorton,356,658,2,
Titus,2603,4205,14,
Tom Green,12316,11064,174,
Travis,71031,78585,2597,
Trinity,1042,2100,12,
Tyler,1965,3322,31,
Upshur,3272,4902,37,
Upton,869,686,6,
Uvalde,3103,2299,47,
Val Verde,3476,4603,73,
Van Zandt,3385,6449,64,
Victoria,9594,7326,108,
Walker,4974,5105,92,
Waller,1992,2828,42,
Ward,2123,2046,49,
Washington,3820,2635,45,
Webb,4222,10362,114,
Wharton,4682,5914,48,
Wheeler,1273,1598,17,
Wichita,19024,22017,225,
Wilbarger,2145,3280,51,
Willacy,1542,2984,31,
Williamson,7481,9355,174,
Wilson,1926,3973,3,
Winkler,1842,1382,42,
Wise,2856,5133,24,
Wood,3076,4107,43,
Yoakum,1477,1181,22,
Young,2652,3473,41,
Zapata,462,1216,4,
Zavala,735,1822,21,
