1988 US Presidential Election,Bush,Dukakis,Other,
Anderson,7858,6128,59,
Andrews,3052,1122,17,
Angelina,12738,10849,265,
Aransas,3858,2305,33,
Archer,2010,1627,9,
Armstrong,720,314,6,
Atascosa,4777,4657,70,
Austin,4524,2593,43,
Bailey,1459,876,8,
Bandera,3435,1251,75,
Bastrop,5991,8004,97,
Baylor,914,1153,3,
Bee,4620,4616,45,
Bell,29382,17751,418,
Bexar,193192,174036,2521,
Blanco,1680,1012,27,
Borden,283,169,2,
Bosque,3458,2670,19,
Bowie,15454,12331,156,
Brazoria,34028,23436,1617,
Brazos,29369,14885,436,
Brewster,1708,1569,36,
Briscoe,464,574,10,
Brooks,608,2859,22,
Brown,6810,4763,33,
Burleson,2242,3085,12,
Burnet,5120,4343,45,
Caldwell,3553,4649,60,
Calhoun,3183,3314,27,
Callahan,2887,2017,17,
Cameron,24263,30972,317,
Camp,1908,2121,13,
Carson,2100,1034,14,
Cass,5305,5941,16,
Castro,1604,1436,9,
Chambers,3694,3035,52,
Cherokee,7520,5604,41,
Childress,1201,1060,6,
Clay,2043,2288,9,
Cochran,771,681,10,
Coke,863,674,5,
Coleman,2340,1978,3,
Collin,67776,22934,520,
Collingsworth,872,809,2,
Colorado,3723,2847,30,
Comal,13994,5716,270,
Comanche,2120,2622,19,
Concho,617,643,3,
Cooke,7196,4217,39,
Coryell,7461,4026,140,
Cottle,379,690,14,
Crane,1219,596,3,
Crockett,932,881,6,
Crosby,1121,1435,6,
Culberson,417,557,8,
Dallam,1205,645,12,
Dallas,347094,243198,4246,
Dawson,3154,2155,8,
Deaf Smith,3744,1930,52,
Delta,849,1244,8,
Denton,57444,26204,562,
Dewitt,3628,2579,48,
Dickens,435,696,10,
Dimmit,900,2735,16,
Donley,1043,661,9,
Duval,907,4177,13,
Eastland,3929,3215,22,
Ector,23155,10825,172,
Edwards,556,368,6,
Ellis,16422,11169,158,
El Paso,55573,62622,586,
Erath,5427,4113,30,
Falls,2344,2877,16,
Fannin,4024,5163,27,
Fayette,4551,3390,30,
Fisher,721,1516,3,
Floyd,1741,1391,6,
Foard,306,513,1,
Fort Bend,39818,23351,615,
Franklin,1439,1453,4,
Freestone,3159,2916,17,
Frio,1505,3016,17,
Gaines,2265,1310,31,
