1992 US Presidential Election,Bush,Clinton,Perot,
Anderson,5598,5322,3519,
Andrews,2266,1081,875,
Angelina,9722,10318,6204,
Aransas,2826,2246,1676,
Archer,1560,1284,1106,
Armstrong,561,278,187,
Atascosa,3806,3766,2035,
Austin,4015,2278,1585,
Bailey,1308,677,376,
Bandera,2674,1059,1537,
Bastrop,4980,6252,3240,
Baylor,611,990,529,
Bee,3633,4083,1367,
Bell,24936,18684,11026,
Bexar,168816,172513,72110,
Blanco,1370,891,830,
Borden,184,106,87,
Bosque,2300,2173,1999,
Bowie,11776,11825,6659,
Brazoria,30384,21861,18954,
Brazos,23943,14819,10372,
Brewster,1127,1383,712,
Briscoe,360,430,164,
Brooks,585,2856,318,
Brown,5313,4264,3034,
Burleson,2013,2511,1179,
Burnet,4272,3638,2865,
Caldwell,2749,3794,1776,
Calhoun,2640,2550,1579,
Callahan,2134,1694,1452,
Cameron,20123,29435,9286,
Camp,1219,1938,821,
Carson,1647,825,578,
Cass,3999,5476,2168,
Castro,1307,1113,485,
Chambers,3398,2832,2122,
Cherokee,5847,5003,3273,
Childress,1033,881,421,
Clay,1586,1919,1397,
Cochran,750,454,255,
Coke,640,580,393,
Coleman,1462,1579,1095,
Collin,60514,24508,43287,
Collingsworth,697,635,265,
Colorado,3286,2442,1421,
Comal,12651,6312,5841,
Comanche,1666,2296,1281,
Concho,414,489,329,
Cooke,5299,3105,4658,
Coryell,6144,4157,3974,
Cottle,245,542,235,
Crane,918,514,412,
Crockett,623,653,368,
Crosby,1006,1010,313,
Culberson,251,424,171,
Dallam,922,434,325,
Dallas,256007,231412,170571,
Dawson,2691,1639,518,
Deaf Smith,3137,1642,772,
Delta,599,864,551,
Denton,48492,27891,39653,
Dewitt,3238,2127,1346,
Dickens,373,536,250,
Dimmit,844,3172,361,
Donley,893,578,260,
Duval,698,4006,326,
Eastland,2830,2738,1698,
Ector,18161,11130,6668,
Edwards,460,254,171,
Ellis,13564,9537,10303,
El Paso,47224,67715,19738,
Erath,3835,3531,3046,
Falls,1826,2761,1185,
Fannin,2510,4164,2919,
Fayette,3789,2923,2088,
Fisher,539,1242,442,
Floyd,1676,947,385,
Foard,207,435,152,
Fort Bend,41039,29992,16853,
Franklin,1058,1338,942,
Freestone,2316,2445,1596,
Frio,1275,2377,654,
Gaines,2138,1095,696,
Galveston,31303,38623,20103,
Garza,982,558,345,
Gillespie,4712,1600,2018,
Glasscock,379,100,93,
Goliad,1236,1069,521,
Gonzales,2502,2006,1018,
Gray,6105,2426,1810,
Grayson,12322,12547,13327,
Gregg,20542,12797,8437,
Grimes,2402,2594,1213,
Guadalupe,10818,6567,5618,
Hale,6098,2761,1357,
Hall,631,819,263,
Hamilton,1232,1100,921,
Hansford,1660,345,398,
Hardeman,614,954,362,
Hardin,5885,6753,4129,
Harris,406778,360171,172922,
Harrison,8733,9538,4371,
Hartley,1081,406,308,
Haskell,852,1438,562,
Hays,10008,10842,6252,
Hemphill,989,479,232,
Henderson,8368,9105,6746,
Hidalgo,26976,51205,9757,
Hill,3669,3929,2752,
Hockley,4261,2301,1291,
Hood,5313,4359,4457,
Hopkins,3398,4085,3147,
Houston,3067,3250,1690,
Howard,5129,3735,1984,
Hudspeth,325,364,178,
Hunt,9739,7452,7387,
Hutchinson,6034,2833,1993,
Irion,283,256,290,
Jack,1041,1254,1045,
Jackson,2451,1722,976,
Jasper,3870,5658,2539,
Jeff Davis,360,321,187,
Jefferson,29622,48405,17242,
Jim Hogg,478,1520,107,
Jim Wells,3311,7812,1413,
Johnson,13473,12030,11573,
Jones,2088,2400,1436,
Karnes,1990,1897,802,
Kaufman,6578,6498,5913,
Kendall,4162,1374,1773,
Kenedy,69,87,18,
Kent,175,271,163,
Kerr,8787,3707,3790,
Kimble,790,467,354,
King,79,54,56,
Kinney,634,598,299,
Kleberg,3897,5109,1470,
Knox,521,854,438,
Lamar,5778,6328,4093,
Lamb,2998,1737,709,
Lampasas,2233,1508,1432,
La Salle,586,1522,211,
Lavaca,3362,2700,1696,
Lee,2108,1847,1088,
Leon,2212,2042,1251,
Liberty,6959,7036,4311,
Limestone,2358,3188,1505,
Lipscomb,839,338,270,
Live Oak,1805,1345,806,
Llano,3056,2409,1799,
Loving,31,20,45,
Lubbock,48847,22240,11618,
Lynn,1233,902,291,
McCulloch,1108,1393,986,
McLennan,28473,25903,15505,
McMullen,274,78,89,
Madison,1544,1553,778,
Marion,1245,2156,882,
Martin,986,641,356,
Mason,776,570,364,
Matagorda,5328,4759,3045,
Maverick,2002,4540,771,
Medina,4912,3650,2167,
Menard,354,553,367,
Midland,24143,9160,7880,
Milam,2414,3542,1495,
Mills,702,753,530,
Mitchell,1128,1353,604,
Montague,2304,2885,2330,
Montgomery,39976,18551,19203,
Moore,3147,1361,976,
Morris,1400,3028,1138,
Motley,446,256,117,
Nacogdoches,9864,6937,4803,
Navarro,4897,6006,3800,
Newton,1212,3249,1032,
Nolan,1993,2490,1455,
Nueces,36781,46317,17374,
Ochiltree,2419,557,576,
Oldham,583,225,177,
Orange,9793,15305,7321,
Palo Pinto,2852,3392,3010,
Panola,3473,3950,1906,
Parker,10321,7934,9148,
Parmer,1829,637,564,
Pecos,1836,1778,895,
Polk,5390,5942,2884,
Potter,13510,9527,4655,
Presidio,400,1189,290,
Rains,975,1108,890,
Randall,24971,9119,6340,
Reagan,651,337,259,
Real,787,463,386,
Red River,1735,2686,1228,
Reeves,1244,2569,734,
Refugio,1469,1531,716,
Roberts,391,126,99,
Robertson,1707,2927,963,
Rockwall,6427,2397,4393,
Runnels,1653,1401,1279,
Rusk,7560,5391,3575,
Sabine,1490,2288,894,
San Augustine,1243,1737,667,
San Jacinto,2494,2846,1653,
San Patricio,7456,8202,3178,
San Saba,723,716,660,
Schleicher,452,420,355,
Scurry,2670,1609,1826,
Shackelford,623,484,422,
Shelby,3217,3986,1487,
Sherman,851,261,256,
Smith,27753,17514,13569,
Somervell,872,782,903,
Starr,1209,7668,345,
Stephens,1573,1115,1062,
Sterling,322,127,182,
Stonewall,242,561,322,
Sutton,687,524,387,
Swisher,989,1413,541,
Tarrant,183387,156230,129998,
Taylor,22614,12382,10331,
Terrell,176,325,128,
Terry,2309,1461,619,
Throckmorton,389,401,228,
Titus,3024,3625,2146,
Tom Green,14989,11437,10244,
Travis,88105,130546,56158,
Trinity,1988,2784,1133,
Tyler,2357,3465,1529,
Upshur,4511,4776,2896,
Upton,908,489,313,
Uvalde,3635,3482,1387,
Val Verde,4102,4748,2093,
Van Zandt,5810,5310,5239,
Victoria,13086,7604,5136,
Walker,6662,5619,3619,
Waller,3065,4270,1692,
Ward,1769,1695,948,
Washington,5817,3283,1738,
Webb,7789,14509,2517,
Wharton,5503,4643,2624,
Wheeler,1458,938,367,
Wichita,17956,17021,11478,
Wilbarger,1959,1924,1453,
Willacy,1490,3359,652,
Williamson,26208,19437,15415,
Wilson,3766,3711,2105,
Winkler,1173,942,582,
Wise,4555,4478,4485,
Wood,4708,4084,3494,
Yoakum,1486,595,484,
Young,2894,2464,2302,
Zapata,866,2052,326,
Zavala,571,3058,237,
