1996 US Presidential Election,Dole,Clinton,Perot,
Anderson,6458,5693,1170,
Andrews,2360,1181,431,
Angelina,11789,11346,2160,
Aransas,3769,2964,655,
Archer,1974,1235,437,
Armstrong,582,272,75,
Atascosa,4102,4259,813,
Austin,4669,2719,577,
Bailey,1246,706,109,
Bandera,3700,1383,520,
Bastrop,6323,6773,1342,
Baylor,860,955,262,
Bee,3611,4561,539,
Bell,30348,22638,3666,
Bexar,161619,180308,17822,
Blanco,1919,1028,330,
Borden,194,93,45,
Bosque,2840,2427,739,
Bowie,12750,13657,2760,
Brazoria,36392,22959,5869,
Brazos,22082,13968,2215,
Brewster,1438,1643,299,
Briscoe,416,408,65,
Brooks,413,2945,108,
Brown,6524,4138,1081,
Burleson,2174,2419,347,
Burnet,5744,4123,1108,
Caldwell,3239,3961,545,
Calhoun,2832,2753,507,
Callahan,2480,1666,534,
Cameron,18434,34891,2760,
Camp,1488,1912,252,
Carson,1742,742,227,
Cass,4066,5691,1038,
Castro,1231,1107,144,
Chambers,4101,2876,818,
Cherokee,6483,5185,971,
Childress,1072,719,165,
Clay,1997,1690,465,
Cochran,667,541,127,
Coke,790,595,157,
Coleman,1793,1488,349,
Collin,83750,37854,10443,
Collingsworth,729,581,118,
Colorado,3381,2795,574,
Comal,16763,7132,1903,
Comanche,2123,2138,511,
Concho,488,434,107,
Cooke,7320,3782,1150,
Coryell,7143,5300,1443,
Cottle,331,404,77,
Crane,984,616,201,
Crockett,714,684,147,
Crosby,968,1122,189,
Culberson,329,804,99,
Dallam,970,483,170,
Dallas,260058,255766,36759,
Dawson,2319,1612,232,
Deaf Smith,3051,1655,310,
Delta,744,849,146,
Denton,65313,36138,9294,
Dewitt,3577,2074,483,
Dickens,421,509,117,
Dimmit,604,2242,128,
Donley,988,495,97,
Duval,543,3958,136,
Eastland,3272,2594,705,
Ector,17746,12017,2511,
Edwards,511,437,60,
Ellis,16046,10832,2750,
El Paso,43255,83964,6300,
Erath,4750,3664,1134,
Falls,2260,3256,479,
Fannin,3495,4276,980,
Fayette,4195,3119,708,
Fisher,537,1142,170,
Floyd,1530,986,126,
Foard,166,355,52,
Fort Bend,49945,38163,4363,
Franklin,1575,1484,386,
Freestone,2888,2630,568,
Frio,1225,2593,253,
Gaines,1812,1012,353,
Galveston,35251,38458,5897,
Garza,946,703,103,
Gillespie,5867,1655,542,
Glasscock,382,70,30,
Goliad,1335,1135,148,
Gonzales,2687,2110,354,
Gray,6102,2114,568,
Grayson,17169,14338,3745,
Gregg,21611,13659,2079,
Grimes,2564,2584,538,
Guadalupe,14254,8079,1811,
Hale,5905,3204,605,
Hall,626,750,94,
Hamilton,1493,1200,323,
Hansford,1493,343,105,
Hardeman,610,750,168,
Hardin,8529,7179,2112,
Harris,421462,386726,42364,
Harrison,9835,10307,1427,
Hartley,1242,463,101,
Haskell,966,1374,225,
Hays,12865,11580,1990,
Hemphill,986,344,104,
Henderson,10345,10085,2274,
Hidalgo,24437,56335,3536,
Hill,4401,3988,1052,
Hockley,4230,2170,519,
Hood,7575,5459,1445,
Hopkins,4341,4522,1034,
Houston,3443,3383,585,
Howard,5007,3732,1037,
Hudspeth,367,427,92,
Hunt,10746,8801,2225,
Hutchinson,6350,2553,864,
Irion,386,213,86,
Jack,1162,1019,301,
Jackson,2533,1785,309,
Jasper,4523,5039,1041,
Jeff Davis,482,370,99,
Jefferson,32821,45854,5314,
Jim Hogg,307,1437,64,
Jim Wells,2989,7116,430,
Johnson,16246,12817,3250,
Jones,2351,2422,614,
Karnes,1869,2154,291,
Kaufman,8697,7383,1831,
Kendall,5940,2092,620,
Kenedy,71,133,4,
Kent,187,260,67,
Kerr,11173,4192,1236,
Kimble,898,521,131,
King,97,46,29,
Kinney,650,503,97,
Kleberg,3391,5136,431,
Knox,599,785,149,
Lamar,6393,6075,1198,
Lamb,2593,1683,283,
Lampasas,3008,1819,509,
La Salle,570,1522,85,
Lavaca,3697,2575,551,
Lee,2354,2008,421,
Leon,2839,2217,499,
Liberty,7784,6877,2011,
Limestone,2691,3236,693,
Lipscomb,869,357,115,
Live Oak,1929,1372,292,
Llano,4290,2633,762,
Loving,48,14,15,
Lubbock,47304,22786,3996,
Lynn,1151,903,136,
McCulloch,1465,1231,296,
McLennan,30666,27050,5131,
McMullen,274,117,35,
Madison,1576,1470,293,
Marion,1260,2028,353,
Martin,973,643,140,
Mason,949,618,151,
Matagorda,5876,5374,1190,
Maverick,1050,5307,202,
Medina,5710,3880,715,
Menard,443,490,102,
Midland,25382,9513,2079,
Milam,3019,3869,657,
Mills,1044,748,230,
Mitchell,949,1213,232,
Montague,3029,2718,842,
Montgomery,51011,20722,6065,
Moore,3353,1358,359,
Morris,1449,2973,402,
Motley,380,164,56,
Nacogdoches,10361,7641,1352,
Navarro,5236,6078,1140,
Newton,1409,2554,474,
Nolan,2166,2582,613,
Nueces,37470,50009,5103,
