1964 US Presidential Election,Goldwater,Johnson,Unpledged,
Alabama,479085,0,210732,
Alaska,22930,44329,0,
Arizona,242535,237753,0,
Arkansas,243264,314197,0,
California,2879108,4171877,0,
Colorado,296767,476024,0,
Connecticut,390996,826269,0,
Delaware,78078,122704,0,
District of Columbia,28801,169796,0,
Florida,905941,948540,0,
Georgia,616584,522557,0,
Hawaii,44022,163249,0,
Idaho,143557,148920,0,
Illinois,1905946,2796833,0,
Indiana,911118,1170848,0,
Iowa,449148,733030,0,
Kansas,386579,464028,0,
Kentucky,372977,669659,0,
Louisiana,509225,387068,0,
Maine,118701,262264,0,
Maryland,385495,730912,0,
Massachusetts,549727,1786422,0,
Michigan,1060152,2136615,0,
Minnesota,559624,991117,0,
Mississippi,356528,52618,0,
Missouri,653535,1164344,0,
Montana,113032,164246,0,
Nebraska,276847,307307,0,
Nevada,56094,79339,0,
New Hampshire,104029,182065,0,
New Jersey,963843,1867671,0,
New Mexico,131838,194017,0,
New York,2243559,4913156,0,
North Carolina,624844,800139,0,
North Dakota,108207,149784,0,
Ohio,1470865,2498331,0,
Oklahoma,412665,519834,0,
Oregon,282779,501017,0,
Pennsylvania,1673657,3130954,0,
Rhode Island,74615,315463,0,
South Carolina,309048,215700,0,
South Dakota,130108,163010,0,
Tennessee,508965,634947,0,
Texas,958566,1663185,0,
Utah,180682,219628,0,
Vermont,54942,108127,0,
Virginia,481334,558038,0,
Washington,470366,779881,0,
West Virginia,253953,538087,0,
Wisconsin,638495,1050424,0,
Wyoming,61998,80718,0,
