1968 US Presidential Election,Nixon,Humphrey,Wallace,
Alabama,146923,196579,691425,
Alaska,37600,35411,10024,
Arizona,266721,170514,46573,
Arkansas,189062,184901,235627,
California,3467664,3244318,487270,
Colorado,409345,335174,60813,
Connecticut,556721,621561,76650,
Delaware,96714,89194,28459,
District of Columbia,31012,139566,0,
Florida,886804,676794,624207,
Georgia,380111,334440,535550,
Hawaii,91425,141324,3469,
Idaho,165369,89273,36541,
Illinois,2174774,2039814,390958,
Indiana,1067885,806659,243108,
Iowa,619106,476699,66422,
Kansas,478674,302996,88921,
Kentucky,462411,397541,193098,
Louisiana,257535,309615,530300,
Maine,169254,217312,6370,
Maryland,517995,538310,178734,
Massachusetts,766844,1469218,87088,
Michigan,1370665,1593082,331968,
Minnesota,658643,857738,68931,
Mississippi,88516,150644,415349,
Missouri,811932,791444,206126,
Montana,138835,114117,20015,
Nebraska,321163,170784,44904,
Nevada,73188,60598,20432,
New Hampshire,154903,130589,11173,
New Jersey,1325467,1264206,262187,
New Mexico,169692,130081,25737,
New York,3007932,3378470,358864,
North Carolina,627192,464113,496188,
North Dakota,138669,94769,14244,
Ohio,1791014,1700586,467495,
Oklahoma,449697,301658,191731,
Oregon,408433,358866,49683,
Pennsylvania,2090017,2259405,378582,
Rhode Island,122359,246518,15678,
South Carolina,254062,197486,215430,
South Dakota,149841,118023,13400,
Tennessee,472592,351233,424792,
Texas,1227844,1266804,584269,
Utah,238728,156665,26906,
Vermont,85142,70255,5104,
Virginia,590319,442387,321833,
Washington,588510,616037,96990,
West Virginia,307555,374091,72560,
Wisconsin,809997,748804,127835,
Wyoming,70927,45173,11105,
