1972 US Presidential Election,Nixon,McGovern,Other,
Alabama,728701,256923,20469,
Alaska,55349,32967,6903,
Arizona,402812,198540,52153,
Arkansas,445751,198899,3016,
California,4602096,3475847,289919,
Colorado,597189,329980,26715,
Connecticut,810763,555498,18016,
Delaware,140357,92283,2876,
District of Columbia,35226,127627,568,
Florida,1857759,718117,7407,
Georgia,881496,289529,3747,
Hawaii,168865,101409,0,
Idaho,199384,80826,30169,
Illinois,2788179,1913472,21585,
Indiana,1405154,708568,11807,
Iowa,706207,496206,23531,
Kansas,619812,270287,25996,
Kentucky,676446,371159,19894,
Louisiana,686852,298142,66497,
Maine,256458,160584,229,
Maryland,829305,505781,18726,
Massachusetts,1112078,1332540,14138,
Michigan,1961721,1459435,69169,
Minnesota,898269,802346,41037,
Mississippi,505125,126782,14056,
Missouri,1154058,698531,0,
Montana,183976,120197,13430,
Nebraska,406298,169991,0,
Nevada,115750,66016,0,
New Hampshire,213724,116435,3896,
New Jersey,1845502,1102211,49516,
New Mexico,235606,141084,9241,
New York,4192778,2951084,17968,
North Carolina,1054889,438705,25018,
North Dakota,174109,100384,6021,
Ohio,2441827,1558889,94071,
Oklahoma,759025,247147,23728,
Oregon,486686,392760,48500,
Pennsylvania,2714521,1796951,80633,
Rhode Island,220383,194645,780,
South Carolina,478427,189270,10183,
South Dakota,166476,139945,994,
Tennessee,813147,357293,30742,
Texas,2298896,1154291,19527,
Utah,323643,126284,28549,
Vermont,117149,68174,1624,
Virginia,988493,438887,29639,
Washington,837135,568334,65378,
West Virginia,484964,277435,0,
Wisconsin,989430,810174,53286,
Wyoming,100464,44358,748,
