1976 US Presidential Election,Ford,Carter,Other,
Alabama,504070,659170,19610,
Alaska,71555,44058,7961,
Arizona,418642,295602,28475,
Arkansas,268753,499614,1029,
California,3882244,3742284,242589,
Colorado,584367,460353,36415,
Connecticut,719261,647895,14370,
Delaware,109831,122596,3407,
District of Columbia,27873,137818,3139,
Florida,1469531,1636000,45100,
Georgia,483743,979409,4306,
Hawaii,140003,147375,3923,
Idaho,204151,126549,10232,
Illinois,2364269,2271295,83269,
Indiana,1183958,1014714,21690,
Iowa,632863,619931,26512,
Kansas,502752,430421,24672,
Kentucky,531852,615717,19573,
Louisiana,587446,661365,29628,
Maine,236320,232279,14609,
Maryland,672661,759612,0,
Massachusetts,1030276,1429475,87806,
Michigan,1893742,1696714,63293,
Minnesota,819395,1070440,60096,
Mississippi,366846,381309,21205,
Missouri,927443,998387,27770,
Montana,173703,149259,5772,
Nebraska,359705,233692,14271,
Nevada,101273,92479,8124,
New Hampshire,185935,147635,6048,
New Jersey,1509688,1444653,60131,
New Mexico,211419,201148,4023,
New York,3100791,3389558,34876,
North Carolina,741960,927365,8581,
North Dakota,153470,136078,7546,
Ohio,2000505,2011621,99747,
Oklahoma,545708,532442,14101,
Oregon,492120,490407,47349,
Pennsylvania,2205604,2328677,86506,
Rhode Island,181249,227636,2285,
South Carolina,346140,450825,5629,
South Dakota,151505,147068,2105,
Tennessee,633969,825879,16498,
Texas,1953300,2082319,36265,
Utah,337908,182110,21180,
Vermont,102085,81044,4726,
Virginia,836554,813896,46644,
Washington,777732,717323,60479,
West Virginia,314760,435914,0,
Wisconsin,1004987,1040232,56117,
Wyoming,92717,62239,1387,
