1996 US Presidential Election,Dole,Clinton,Perot,
Alabama,769044,662165,92149,
Alaska,122746,80380,26333,
Arizona,622073,653288,112072,
Arkansas,325416,475171,69884,
California,3828380,5119835,697847,
Colorado,691848,671152,99629,
Connecticut,483109,735740,139523,
Delaware,99062,140355,28719,
District of Columbia,17339,158220,3611,
Florida,2244536,2546870,483870,
Georgia,1080843,1053849,146337,
Hawaii,113943,205012,27358,
Idaho,256595,165443,62518,
Illinois,1587021,2341744,346408,
Indiana,1006693,887424,224299,
Iowa,492644,620258,105159,
Kansas,583245,387659,92639,
Kentucky,623283,636614,120396,
Louisiana,712586,927837,123293,
Maine,186378,312788,85970,
Maryland,681530,966207,115812,
Massachusetts,718107,1571763,227217,
Michigan,1481212,1989653,336670,
Minnesota,766476,1120438,257704,
Mississippi,439838,394022,52222,
Missouri,890016,1025935,217188,
Montana,179652,167922,55229,
Nebraska,363467,236761,71278,
Nevada,199244,203974,43986,
New Hampshire,196532,246214,48390,
New Jersey,1103078,1652329,262134,
New Mexico,232751,273495,32257,
New York,1933492,3756177,503458,
North Carolina,1225938,1107849,168059,
North Dakota,125050,106905,32515,
Ohio,1859883,2148222,483207,
Oklahoma,582315,488105,130788,
Oregon,538152,649641,121221,
Pennsylvania,1801169,2215819,430984,
Rhode Island,104683,233050,43723,
South Carolina,573458,504051,64386,
South Dakota,150543,139333,31250,
Tennessee,863530,909146,105918,
Texas,2736167,2459683,378537,
Utah,361911,221633,66461,
Vermont,80352,137894,31024,
Virginia,1138350,1091060,159861,
Washington,840712,1123323,201003,
West Virginia,233946,327812,71639,
Wisconsin,845029,1071971,227339,
Wyoming,105388,77934,25928,
