2000 US Presidential Election,Bush,Gore,Nader,
Alabama,944409,695602,18349,
Alaska,167398,79004,28747,
Arizona,781652,685341,45645,
Arkansas,472940,422768,13421,
California,4567429,5861203,418707,
Colorado,883745,738227,91434,
Connecticut,561094,816015,64452,
Delaware,137288,180068,8307,
District of Columbia,18073,171923,10576,
Florida,2912790,2912253,97488,
Georgia,1419720,1116230,13432,
Hawaii,137845,205286,21623,
Idaho,336937,138637,12292,
Illinois,2019421,2589026,103759,
Indiana,1245836,901980,18531,
Iowa,634373,638517,29374,
Kansas,622332,399276,36086,
Kentucky,872492,638898,23192,
Louisiana,927871,792344,20473,
Maine,286616,319951,37127,
Maryland,813797,1145782,53768,
Massachusetts,878502,1616487,173564,
Michigan,1953139,2170418,84165,
Minnesota,1109659,1168266,126696,
Mississippi,573230,404964,8126,
Missouri,1189924,1111138,38515,
Montana,240178,137126,24437,
Nebraska,433862,231780,24540,
Nevada,301575,279978,15008,
New Hampshire,273559,266348,22198,
New Jersey,1284173,1788850,94554,
New Mexico,286417,286783,21251,
New York,2405570,4113175,244390,
North Carolina,1631163,1257692,0,
North Dakota,174852,95284,9497,
Ohio,2351209,2186190,117857,
Oklahoma,744337,474276,0,
Oregon,713577,720342,77357,
Pennsylvania,2281127,2485967,103392,
Rhode Island,130555,249508,25052,
South Carolina,786426,566039,20279,
South Dakota,190700,118804,0,
Tennessee,1061949,981720,19781,
Texas,3799639,2433746,137994,
Utah,515096,203053,35850,
Vermont,119775,149022,20374,
Virginia,1437490,1217290,59398,
Washington,1108864,1247652,103002,
West Virginia,336475,295497,10680,
Wisconsin,1237279,1242987,94070,
Wyoming,147947,60481,4625,
