2008 US Presidential Election,McCain,Obama,Other,
Alabama,1266546,813479,19794,
Alaska,193841,123594,8762,
Arizona,1230111,1034707,39020,
Arkansas,638017,422310,26290,
California,5011781,8274473,296829,
Colorado,1073629,1288633,39200,
Connecticut,629428,997773,19592,
Delaware,152374,255459,4783,
District of Columbia,17367,245800,2686,
Florida,4046219,4282367,83662,
Georgia,2048759,1844123,39276,
Hawaii,120566,325871,7131,
Idaho,403012,236440,19002,
Illinois,2031179,3419348,79652,
Indiana,1345648,1374039,36971,
Iowa,682379,828940,25804,
Kansas,699655,514765,24453,
Kentucky,1048462,751985,27140,
Louisiana,1148275,782989,29497,
Maine,295273,421923,13967,
Maryland,959862,1629467,42267,
Massachusetts,1108854,1904098,68117,
Michigan,2048639,2872579,89388,
Minnesota,1275409,1573354,61606,
Mississippi,724597,554662,10680,
Missouri,1445814,1441911,41386,
Montana,243882,232159,16709,
Nebraska,452979,333319,14983,
Nevada,412827,533736,21285,
New Hampshire,316534,384826,9610,
New Jersey,1613207,2215422,48778,
New Mexico,346832,472422,10904,
New York,2752771,4804945,83232,
North Carolina,2128474,2142651,39664,
North Dakota,168887,141403,7448,
Ohio,2677820,2940044,103967,
Oklahoma,960165,502496,0,
Oregon,738475,1037291,52098,
Pennsylvania,2655885,3276363,83228,
Rhode Island,165391,296571,9804,
South Carolina,1034896,862449,23624,
South Dakota,203054,170924,7997,
Tennessee,1479178,1087437,35367,
Texas,4479328,3528633,79830,
Utah,596030,327670,35296,
Vermont,98974,219262,6810,
Virginia,1725005,1959532,38723,
Washington,1229216,1750848,73197,
West Virginia,397466,303857,13800,
Wisconsin,1262393,1677211,43813,
Wyoming,164958,82868,6832,
