2004 US Presidential Election,Bush,Kerry,Other,
Accomack,7726,5518,112,
Albemarle,21189,22088,449,
Alleghany,3962,3203,30,
Amelia,3499,1862,36,
Amherst,7758,4866,71,
Appomattox,4366,2191,98,
Arlington,29635,63987,1028,
Augusta,22100,7019,585,
Bath,1432,828,22,
Bedford,21925,9102,377,
Bland,1962,846,57,
Botetourt,10865,4801,131,
Brunswick,2852,4062,12,
Buchanan,4507,5275,47,
Buckingham,3185,2789,53,
Campbell,15891,6862,244,
Caroline,4999,4878,77,
Carroll,8173,3888,67,
Charles City,1254,2155,30,
Charlotte,3166,2223,49,
Chesterfield,83745,49346,723,
Clarke,3741,2699,65,
Craig,1706,901,14,
Culpeper,10026,5476,103,
Cumberland,2377,1721,28,
Dickenson,3591,3761,54,
Dinwiddie,6193,4569,77,
Essex,2304,2007,33,
Fairfax,211980,245671,3728,
Fauquier,19011,10712,192,
Floyd,4162,2488,84,
Fluvanna,6458,4415,84,
Franklin,14048,8002,173,
Frederick,19386,8853,301,
Giles,4320,3047,131,
Gloucester,11084,5105,144,
Goochland,6668,3583,87,
Grayson,4655,2430,52,
Greene,4570,2240,129,
Greensville,1732,2514,12,
Halifax,8363,6220,73,
Hanover,35404,13941,266,
Henrico,71809,60864,745,
Henry,13358,9851,249,
Highland,982,522,16,
Isle of Wight,9929,5871,71,
James City,18949,11934,207,
King and Queen,1737,1506,43,
King George,5124,2739,58,
King William,4397,2436,39,
Lancaster,3724,2477,29,
Lee,5664,4005,101,
Loudoun,60382,47271,777,
Louisa,7083,4844,108,
Lunenburg,2858,2362,25,
Madison,3556,2176,40,
Mathews,3497,1589,43,
Mecklenburg,7319,5293,168,
Middlesex,3336,1914,127,
Montgomery,17070,14128,317,
Nelson,3539,3543,57,
New Kent,5414,2443,89,
Northampton,2669,2775,55,
Northumberland,3832,2548,29,
Nottoway,3303,2635,92,
Orange,7749,5015,164,
Page,6221,3324,58,
Patrick,5507,2572,136,
Pittsylvania,17673,9274,470,
Powhatan,8955,3112,96,
Prince Edward,3571,3632,113,
Prince George,8131,5066,57,
Prince William,69776,61271,1016,
Pulaski,8769,5310,172,
Rappahannock,2172,1837,41,
Richmond,2082,1243,36,
Roanoke,30596,16082,295,
Rockbridge,5412,3627,142,
Rockingham,21737,7273,206,
Russell,6077,5167,179,
Scott,6479,3324,164,
Shenandoah,11820,5186,140,
Smyth,7906,4143,270,
Southampton,4018,3431,43,
Spotsylvania,28527,16623,295,
Stafford,28500,17208,278,
Surry,1543,1954,25,
Sussex,1890,2420,35,
Tazewell,10039,7184,257,
Warren,8600,5241,227,
Washington,14749,7339,426,
Westmoreland,3433,3370,45,
Wise,8330,5802,180,
Wythe,7911,3581,62,
York,19396,10276,208,
Alexandria,19844,41116,555,
Bedford,1472,1042,28,
Bristol,4275,2400,49,
Buena Vista,1417,936,36,
Charlottesville,4172,11088,190,
Chesapeake,52283,38744,514,
Colonial Heights,6129,2061,41,
Covington,1104,1179,18,
Danville,9399,9436,277,
Emporia,970,1247,4,
Fairfax,5045,5395,106,
Falls Church,2074,3944,80,
Franklin,1613,1910,13,
Fredericksburg,3390,4085,67,
Galax,1336,987,12,
Hampton,23399,32016,326,
Harrisonburg,6165,4726,139,
Hopewell,4251,3573,112,
Lexington,982,1340,27,
Lynchburg,14400,11727,213,
Manassas,7257,5562,84,
Manassas Park,1807,1498,27,
Martinsville,2538,3036,29,
Newport News,32208,35319,425,
Norfolk,26401,43518,651,
Norton,768,725,11,
Petersburg,2238,9682,29,
Poquoson,5004,1424,52,
Portsmouth,15212,24112,210,
Radford,2564,2244,37,
Richmond,21637,52167,521,
Roanoke,16661,18862,477,
Salem,7115,4254,115,
Staunton,5805,3756,68,
Suffolk,16763,15233,193,
Virginia Beach,103752,70666,1269,
Waynesboro,5092,2792,79,
Williamsburg,2064,2216,40,
Winchester,5283,3967,93,
