2004 US Presidential Election,Bush,Kerry,Other,
Adams,3751,1315,61,
Asotin,5320,3319,147,
Benton,44350,21549,993,
Chelan,18482,10471,477,
Clallam,18871,17049,846,
Clark,88646,79538,2311,
Columbia,1470,605,32,
Cowlitz,20217,21589,724,
Douglas,8900,4306,166,
Ferry,2019,1201,124,
Franklin,10757,5188,214,
Garfield,935,365,20,
Grant,17799,7779,417,
Grays Harbor,12871,14583,499,
Island,19754,18216,610,
Jefferson,6650,11610,390,
King,301043,580378,13307,
Kitsap,55608,60796,2266,
Kittitas,9052,6731,331,
Klickitat,5016,4036,198,
Lewis,21042,10726,660,
Lincoln,4015,1706,90,
Mason,11987,12894,513,
Okanogan,9636,6309,397,
Pacific,4634,5570,227,
Pend Oreille,3693,2310,195,
Pierce,150783,158231,4779,
San Juan,3290,6589,225,
Skagit,26139,25131,1029,
Skamania,2695,2374,90,
Snohomish,134317,156468,4629,
Spokane,111606,87490,3491,
Stevens,13015,6822,503,
Thurston,47992,62650,2147,
Wahkiakum,1171,1021,43,
Walla Walla,14323,8257,345,
Whatcom,40296,48268,1830,
Whitman,9397,8287,328,
Yakima,43352,28474,964,
