2008 US Presidential Election,McCain,Obama,Other,
Adams,3222,1552,84,
Asotin,5451,4139,190,
Benton,45345,26288,1708,
Chelan,17605,13781,777,
Clallam,18199,19470,851,
Clark,84212,95356,4357,
Columbia,1499,686,73,
Cowlitz,19554,24597,1361,
Douglas,9098,5848,339,
Ferry,1916,1467,153,
Franklin,12037,7361,397,
Garfield,968,385,20,
Grant,17153,9601,880,
Grays Harbor,12104,16354,726,
Island,19426,22058,680,
Jefferson,6330,13252,541,
King,259716,648230,18511,
Kitsap,53297,68624,3090,
Kittitas,9471,8030,476,
Klickitat,4944,4965,255,
Lewis,20278,13624,1067,
Lincoln,3803,2032,173,
Mason,12600,15050,863,
Okanogan,8798,7613,576,
Pacific,4555,6094,406,
Pend Oreille,3717,2562,326,
Pierce,141673,181824,7839,
San Juan,2958,7374,254,
Skagit,24687,30053,1513,
Skamania,2524,2817,149,
Snohomish,126722,187294,8183,
Spokane,108314,105786,6907,
Stevens,13132,8499,960,
Thurston,48366,75882,3142,
Wahkiakum,1105,1121,80,
Walla Walla,14182,10081,614,
Whatcom,40205,58236,2465,
Whitman,8104,9070,415,
Yakima,41946,33792,1796,
