1996 US Presidential Election,Dole,Clinton,Perot,
Adams,2450,4119,1122,
Ashland,1863,3808,861,
Barron,6158,8025,2692,
Bayfield,2250,3895,899,
Brown,38563,42823,8036,
Buffalo,1800,2681,972,
Burnett,2452,3625,962,
Calumet,7049,6940,2112,
Chippewa,7520,9647,3567,
Clark,4622,5540,2486,
Columbia,8377,10336,2377,
Crawford,2149,3658,1060,
Dane,59487,109347,12436,
Dodge,12890,12625,3322,
Door,4948,5590,1475,
Douglas,5167,10976,2001,
Dunn,4917,7536,2555,
Eau Claire,13900,20298,5160,
Florence,927,869,316,
Fond du Lac,16488,15542,4204,
Forest,1166,2092,678,
Grant,7021,9203,2648,
Green,4697,6136,1534,
Green Lake,3565,3152,1025,
Iowa,2866,4690,1071,
Iron,1260,1725,469,
Jackson,2262,3705,1163,
Jefferson,12681,13188,3177,
Juneau,3226,4331,1393,
Kenosha,18296,27964,6507,
Kewaunee,3431,4311,1161,
La Crosse,16482,23647,4844,
Lafayette,2172,3261,944,
Langlade,3206,4074,1249,
Lincoln,4076,6166,1800,
Manitowoc,13239,16750,3941,
Marathon,19874,24012,6749,
Marinette,7231,8413,2367,
Marquette,2208,2859,915,
Menominee,230,992,107,
Milwaukee,119407,216620,26027,
Monroe,5299,6924,2081,
Oconto,5389,6723,1655,
Oneida,6339,7619,2604,
Outagamie,27758,28815,7235,
Ozaukee,22078,13269,2774,
Pepin,1007,1585,456,
Pierce,4599,7970,2074,
Polk,5387,8334,2369,
Portage,9631,15901,3410,
Price,2545,3523,1218,
Racine,30107,38567,7611,
Richland,2642,3502,901,
Rock,20096,32450,6800,
Rusk,2219,2941,1331,
St. Croix,8253,11384,3180,
Sauk,7448,9889,2448,
Sawyer,2603,2773,962,
Shawano,6396,6850,2071,
Sheboygan,20067,22022,4157,
Taylor,3108,3253,1457,
Trempealeau,3035,5848,1688,
Vernon,3796,5572,1523,
Vilas,4496,4226,1548,
Walworth,15099,13283,3729,
Washburn,2703,3231,920,
Washington,25829,17154,4786,
Waukesha,91729,57354,13109,
Waupaca,8679,7800,2464,
Waushara,3573,3824,1264,
Winnebago,27880,29564,6531,
Wood,12666,14650,4599,
