2004 US Presidential Election,Bush,Kerry,Other,
Adams,4890,5447,119,
Ashland,3313,5805,81,
Barron,12030,11696,211,
Bayfield,3754,5845,100,
Brown,67173,54935,1186,
Buffalo,3502,3998,91,
Burnett,4743,4499,79,
Calumet,14721,10290,265,
Chippewa,15450,14751,323,
Clark,7966,6966,193,
Columbia,14956,14300,299,
Crawford,3680,4656,123,
Dane,90369,181052,2828,
Dodge,27201,16690,445,
Door,8910,8367,214,
Douglas,8448,16537,202,
Dunn,10879,12039,254,
Eau Claire,24653,30068,716,
Florence,1703,993,28,
Fond du Lac,33291,19216,529,
Forest,2608,2509,36,
Grant,12208,12864,192,
Green,8497,9575,176,
Green Lake,6472,3605,101,
Iowa,5348,7122,72,
Iron,1884,1956,39,
Jackson,4387,5249,90,
Jefferson,23776,17925,414,
Juneau,6473,5734,172,
Kenosha,35587,40107,734,
Kewaunee,5970,5175,128,
La Crosse,28289,33170,677,
Lafayette,3929,4402,57,
Langlade,6235,4751,88,
Lincoln,8024,7484,192,
Manitowoc,23027,20652,481,
Marathon,36394,30899,766,
Marinette,11866,10190,214,
Marquette,4604,3785,88,
Menominee,288,1412,10,
Milwaukee,180287,297653,4296,
Monroe,10375,8973,206,
Oconto,11043,8534,217,
Oneida,11351,10464,224,
Outagamie,48903,40169,978,
Ozaukee,34904,17714,414,
Pepin,1853,2181,32,
Pierce,10437,11176,263,
Polk,12095,11173,235,
Portage,16546,21861,554,
Price,4312,4349,102,
Racine,52456,48229,884,
Richland,4836,4501,83,
Rock,33151,46598,730,
Rusk,3985,3820,122,
St. Croix,22679,18784,372,
Sauk,14415,15708,294,
Sawyer,4951,4411,91,
Shawano,12150,8657,192,
Sheboygan,34458,27608,559,
Taylor,5582,3829,132,
Trempealeau,5878,8075,109,
Vernon,6774,7924,147,
Vilas,8155,5713,134,
Walworth,28754,19177,515,
Washburn,4762,4705,100,
Washington,50641,21234,592,
Waukesha,154926,73626,1811,
Waupaca,15941,10792,241,
Waushara,6888,5257,101,
Winnebago,46542,40943,1111,
Wood,20592,18950,529,
